epoch,loss,reward,timestamp
1,0.320308,2434.33,2026-02-13T00:57:08.078870
2,0.185798,2787.20,2026-02-13T00:57:10.363882
3,0.165093,3074.02,2026-02-13T00:57:13.188657
4,0.153667,3020.39,2026-02-13T00:57:15.527386
5,0.145777,2851.41,2026-02-13T00:57:17.691380
6,0.139773,2380.86,2026-02-13T00:57:19.825164
7,0.134463,990.83,2026-02-13T00:57:21.755380
8,0.130756,1011.25,2026-02-13T00:57:23.916906
9,0.127999,1099.19,2026-02-13T00:57:26.173482
10,0.126072,1080.68,2026-02-13T00:57:28.453897
11,0.123201,1064.69,2026-02-13T00:57:30.798867
12,0.121799,2002.04,2026-02-13T00:57:33.853698
13,0.118817,1048.15,2026-02-13T00:57:36.569291
14,0.118609,-3.32,2026-02-13T00:57:38.855493
15,0.115982,477.78,2026-02-13T00:57:41.028392
16,0.114336,1099.90,2026-02-13T00:57:43.532578
17,0.114082,779.81,2026-02-13T00:57:46.156504
18,0.111211,-2.94,2026-02-13T00:57:48.771991
19,0.109907,-5.05,2026-02-13T00:57:51.731886
20,0.109409,522.05,2026-02-13T00:57:54.433788
21,0.108094,-3.03,2026-02-13T00:57:55.313530
22,0.107733,-4.84,2026-02-13T00:57:56.219706
23,0.104856,1379.41,2026-02-13T00:57:57.060213
24,0.104782,401.72,2026-02-13T00:57:57.947225
25,0.104839,2376.55,2026-02-13T00:57:58.835016
26,0.101844,3186.54,2026-02-13T00:57:59.656982
27,0.100642,-1.35,2026-02-13T00:58:00.563436
28,0.100731,237.20,2026-02-13T00:58:01.402049
29,0.099927,164.31,2026-02-13T00:58:04.678801
30,0.099426,180.26,2026-02-13T00:58:07.559900
31,0.098672,-8.05,2026-02-13T00:58:09.695117
32,0.097573,2240.52,2026-02-13T00:58:13.092628
33,0.097366,1508.54,2026-02-13T00:58:16.298455
34,0.095067,1562.78,2026-02-13T00:58:19.077185
35,0.095934,227.28,2026-02-13T00:58:21.657005
36,0.094699,2066.88,2026-02-13T00:58:24.351962
37,0.093342,1079.21,2026-02-13T00:58:27.559199
38,0.092559,1823.36,2026-02-13T00:58:30.671014
39,0.092099,2617.28,2026-02-13T00:58:33.770623
40,0.091110,2074.36,2026-02-13T00:58:36.841267
41,0.090556,1237.36,2026-02-13T00:58:39.918981
42,0.090174,2560.81,2026-02-13T00:58:42.667024
43,0.088624,3352.74,2026-02-13T00:58:45.166737
44,0.088147,2867.12,2026-02-13T00:58:48.525702
45,0.087777,2438.03,2026-02-13T00:58:51.413850
46,0.088050,3637.92,2026-02-13T00:58:54.170389
47,0.088092,2560.68,2026-02-13T00:58:56.906045
48,0.086800,3735.85,2026-02-13T00:58:59.241254
49,0.085756,2889.32,2026-02-13T00:59:02.222011
50,0.085013,1811.54,2026-02-13T00:59:04.858080
51,0.084539,3481.02,2026-02-13T00:59:07.569445
52,0.084056,2919.19,2026-02-13T00:59:10.188180
53,0.084832,2901.65,2026-02-13T00:59:12.964039
54,0.084677,2960.66,2026-02-13T00:59:15.310843
55,0.082890,2991.80,2026-02-13T00:59:17.527299
56,0.081846,1800.19,2026-02-13T00:59:19.338528
57,0.081049,2815.75,2026-02-13T00:59:21.111931
58,0.081356,3461.64,2026-02-13T00:59:23.443194
59,0.081493,2579.20,2026-02-13T00:59:25.146594
60,0.079902,2208.65,2026-02-13T00:59:27.079941
61,0.080252,3333.35,2026-02-13T00:59:28.567407
62,0.080616,1543.00,2026-02-13T00:59:30.279454
63,0.079902,3174.22,2026-02-13T00:59:32.087437
64,0.078982,2925.65,2026-02-13T00:59:33.279503
65,0.078241,3817.26,2026-02-13T00:59:34.539483
66,0.078390,3250.92,2026-02-13T00:59:35.418835
67,0.077214,3848.12,2026-02-13T00:59:36.532540
68,0.076126,2814.20,2026-02-13T00:59:37.946893
69,0.076847,2869.47,2026-02-13T00:59:39.133419
70,0.076315,3632.19,2026-02-13T00:59:40.905238
71,0.075731,2981.34,2026-02-13T00:59:42.795798
72,0.075660,3782.95,2026-02-13T00:59:44.310559
73,0.075901,1754.78,2026-02-13T00:59:45.424101
74,0.076405,3514.94,2026-02-13T00:59:46.576613
75,0.074452,2214.44,2026-02-13T00:59:47.653440
76,0.074189,3150.37,2026-02-13T00:59:48.636483
77,0.073958,3065.58,2026-02-13T00:59:49.531771
78,0.073415,2843.34,2026-02-13T00:59:50.373239
79,0.072705,2915.44,2026-02-13T00:59:51.438910
80,0.072217,3120.56,2026-02-13T00:59:52.464377
81,0.071489,3004.42,2026-02-13T00:59:53.376854
82,0.072043,2574.65,2026-02-13T00:59:54.256992
83,0.071668,3162.70,2026-02-13T00:59:55.130276
84,0.071487,3912.36,2026-02-13T00:59:56.181310
85,0.071407,3266.63,2026-02-13T00:59:57.166597
86,0.070663,3779.47,2026-02-13T00:59:58.106415
87,0.071072,3579.98,2026-02-13T00:59:59.033073
88,0.070729,3981.37,2026-02-13T00:59:59.914794
89,0.070631,3890.73,2026-02-13T01:00:00.819209
90,0.070882,4062.36,2026-02-13T01:00:01.700221
91,0.069287,3975.28,2026-02-13T01:00:02.640263
92,0.068763,3878.10,2026-02-13T01:00:03.536325
93,0.069337,3294.96,2026-02-13T01:00:04.442790
94,0.068013,3822.22,2026-02-13T01:00:05.320495
