metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T00:46:59.437620
exp_name,bc-halfcheetah-medexp-50k-run1,2026-02-13T00:46:59.437626
seed,42,2026-02-13T00:46:59.437629
n_epochs,1000,2026-02-13T00:46:59.437631
data_ratio,1.0,2026-02-13T00:46:59.437633
n_transitions,50000,2026-02-13T00:46:59.437637
final_loss,0.031439,2026-02-13T00:46:59.437640
avg_reward,3960.90,2026-02-13T00:46:59.437643
std_reward,1054.66,2026-02-13T00:46:59.437646
n_episodes,10,2026-02-13T00:46:59.437648
