metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-10T19:01:52.713308
exp_name,bc-halfcheetah-medexp-half-run2,2026-02-10T19:01:52.713316
seed,43,2026-02-10T19:01:52.713319
n_epochs,1000,2026-02-10T19:01:52.713321
data_ratio,0.5,2026-02-10T19:01:52.713324
n_transitions,1000000,2026-02-10T19:01:52.713328
final_loss,0.038178,2026-02-10T19:01:52.713333
avg_reward,7353.62,2026-02-10T19:01:52.713338
std_reward,3783.94,2026-02-10T19:01:52.713341
n_episodes,10,2026-02-10T19:01:52.713343
