epoch,loss,reward,timestamp
1,0.106578,3607.28,2026-04-15T00:42:01.076727
2,0.073766,4190.70,2026-04-15T00:42:49.668486
3,0.064480,4248.75,2026-04-15T00:43:38.438436
4,0.059495,4157.61,2026-04-15T00:44:25.014999
5,0.056332,4127.77,2026-04-15T00:45:11.886222
6,0.054248,3666.48,2026-04-15T00:45:58.830756
7,0.052620,4355.76,2026-04-15T00:46:45.223762
8,0.051295,3781.25,2026-04-15T00:47:31.806411
9,0.050291,4167.81,2026-04-15T00:48:18.683339
10,0.049492,4313.78,2026-04-15T00:49:05.282220
11,0.048772,4237.01,2026-04-15T00:49:51.829754
12,0.048135,4909.75,2026-04-15T00:50:38.366651
13,0.047639,5755.24,2026-04-15T00:51:24.582421
14,0.047194,4248.24,2026-04-15T00:52:10.760659
15,0.046785,5535.11,2026-04-15T00:52:56.831394
16,0.046425,6097.53,2026-04-15T00:53:42.814095
17,0.046074,4393.51,2026-04-15T00:54:28.762383
18,0.045787,6743.60,2026-04-15T00:55:14.946840
19,0.045505,4508.18,2026-04-15T00:56:01.075866
20,0.045307,3517.85,2026-04-15T00:56:47.244961
21,0.045074,4433.63,2026-04-15T00:57:33.512169
22,0.044884,6870.30,2026-04-15T00:58:20.009943
23,0.044711,11309.09,2026-04-15T00:59:06.376871
24,0.044494,7124.09,2026-04-15T00:59:52.731725
25,0.044310,4184.00,2026-04-15T01:00:39.498236
26,0.044194,7033.31,2026-04-15T01:01:25.941367
27,0.043998,7005.37,2026-04-15T01:02:12.415693
28,0.043881,9618.98,2026-04-15T01:02:59.243946
29,0.043765,4350.23,2026-04-15T01:03:46.006305
30,0.043603,9961.07,2026-04-15T01:04:33.017142
31,0.043514,4173.08,2026-04-15T01:05:19.518885
32,0.043407,4411.51,2026-04-15T01:06:06.305853
33,0.043295,9651.32,2026-04-15T01:06:52.401904
34,0.043200,6793.73,2026-04-15T01:07:38.850042
35,0.043103,4373.54,2026-04-15T01:08:25.216037
36,0.043003,4439.22,2026-04-15T01:09:11.329656
37,0.042964,7068.55,2026-04-15T01:09:57.401073
38,0.042860,7070.92,2026-04-15T01:10:43.205195
39,0.042813,7042.94,2026-04-15T01:11:29.402922
40,0.042702,12521.34,2026-04-15T01:12:15.549656
41,0.042631,7042.85,2026-04-15T01:13:01.688827
42,0.042576,9751.37,2026-04-15T01:13:47.630151
43,0.042543,7102.19,2026-04-15T01:14:34.093616
44,0.042448,9959.94,2026-04-15T01:15:20.307619
45,0.042386,4912.91,2026-04-15T01:16:06.586269
46,0.042340,12480.79,2026-04-15T01:16:52.491535
47,0.042273,10156.30,2026-04-15T01:17:38.708796
48,0.042215,9817.40,2026-04-15T01:18:24.716865
49,0.042224,9723.36,2026-04-15T01:19:10.520638
50,0.042106,7162.58,2026-04-15T01:19:56.341311
51,0.042075,13009.02,2026-04-15T01:20:42.249503
52,0.042021,12064.71,2026-04-15T01:21:28.189781
53,0.041963,12893.39,2026-04-15T01:22:14.088972
54,0.041926,9986.45,2026-04-15T01:23:00.283580
55,0.041877,4304.50,2026-04-15T01:23:46.116089
56,0.041842,12499.33,2026-04-15T01:24:32.012434
57,0.041792,6894.38,2026-04-15T01:25:17.981866
58,0.041733,9864.53,2026-04-15T01:26:03.441742
59,0.041703,10930.34,2026-04-15T01:26:49.114121
60,0.041697,10056.32,2026-04-15T01:27:35.021374
61,0.041671,8942.44,2026-04-15T01:28:21.042041
62,0.041577,12531.53,2026-04-15T01:29:07.114795
63,0.041553,7050.92,2026-04-15T01:29:53.038965
64,0.041529,9825.73,2026-04-15T01:30:39.006229
65,0.041514,7116.04,2026-04-15T01:31:25.023564
66,0.041477,8995.84,2026-04-15T01:32:11.066926
67,0.041438,10108.72,2026-04-15T01:32:57.327936
68,0.041383,7316.51,2026-04-15T01:33:43.797502
69,0.041357,4375.26,2026-04-15T01:34:30.194505
70,0.041316,9879.61,2026-04-15T01:35:16.226281
71,0.041325,6856.77,2026-04-15T01:36:02.749282
72,0.041252,9877.99,2026-04-15T01:36:49.245711
73,0.041276,12708.90,2026-04-15T01:37:35.632275
74,0.041234,9913.18,2026-04-15T01:38:21.669823
75,0.041191,12776.23,2026-04-15T01:39:07.655272
76,0.041177,4276.36,2026-04-15T01:39:53.756983
77,0.041141,9975.45,2026-04-15T01:40:39.619786
78,0.041118,7063.11,2026-04-15T01:41:25.599538
79,0.041085,10114.39,2026-04-15T01:42:11.546401
80,0.041068,4443.37,2026-04-15T01:42:58.039478
81,0.041051,9891.95,2026-04-15T01:43:44.413748
82,0.041010,10047.38,2026-04-15T01:44:30.881918
83,0.040989,9988.98,2026-04-15T01:45:17.336547
84,0.040971,10002.76,2026-04-15T01:46:03.490931
85,0.040941,4401.58,2026-04-15T01:46:49.720677
86,0.040952,6896.66,2026-04-15T01:47:35.775431
87,0.040887,10077.48,2026-04-15T01:48:22.187170
88,0.040897,12711.45,2026-04-15T01:49:08.861981
89,0.040896,10061.62,2026-04-15T01:49:55.239643
90,0.040822,12754.94,2026-04-15T01:50:41.689923
91,0.040847,7192.75,2026-04-15T01:51:27.816477
92,0.040834,8416.46,2026-04-15T01:52:14.029978
93,0.040813,12614.39,2026-04-15T01:53:00.066799
94,0.040797,9959.30,2026-04-15T01:53:46.369573
95,0.040760,8460.26,2026-04-15T01:54:32.252931
96,0.040756,10211.04,2026-04-15T01:55:18.117314
97,0.040743,10023.68,2026-04-15T01:56:03.876828
98,0.040711,9829.73,2026-04-15T01:56:49.809212
99,0.040673,12506.23,2026-04-15T01:57:35.675794
100,0.040685,9768.54,2026-04-15T01:58:21.257463
101,0.040679,7068.82,2026-04-15T01:59:07.418022
102,0.040666,9784.81,2026-04-15T01:59:53.047227
103,0.040640,10071.47,2026-04-15T02:00:38.332647
104,0.040652,8330.67,2026-04-15T02:01:23.437274
105,0.040622,4273.30,2026-04-15T02:02:09.121190
106,0.040568,10088.04,2026-04-15T02:02:54.700815
107,0.040604,7884.13,2026-04-15T02:03:40.216750
108,0.040576,7076.29,2026-04-15T02:04:25.590107
109,0.040535,7157.25,2026-04-15T02:05:11.004534
110,0.040548,4149.44,2026-04-15T02:05:56.361896
111,0.040559,7127.58,2026-04-15T02:06:41.516007
112,0.040505,9915.25,2026-04-15T02:07:26.829737
113,0.040535,7176.92,2026-04-15T02:08:12.035337
114,0.040502,9840.11,2026-04-15T02:08:57.791742
115,0.040474,7205.75,2026-04-15T02:09:43.077381
116,0.040467,4344.19,2026-04-15T02:10:28.403240
117,0.040442,7213.11,2026-04-15T02:11:13.682809
118,0.040449,9916.62,2026-04-15T02:11:58.901433
119,0.040413,7123.65,2026-04-15T02:12:44.165270
120,0.040415,12850.63,2026-04-15T02:13:29.383842
121,0.040384,9726.27,2026-04-15T02:14:14.737804
122,0.040384,7020.08,2026-04-15T02:15:00.408317
123,0.040377,6882.18,2026-04-15T02:15:45.600344
124,0.040380,7250.53,2026-04-15T02:16:30.771571
125,0.040370,7086.95,2026-04-15T02:17:15.865298
126,0.040360,7040.98,2026-04-15T02:18:01.508739
127,0.040343,9872.38,2026-04-15T02:18:47.240709
128,0.040330,7161.26,2026-04-15T02:19:32.594857
129,0.040328,4225.73,2026-04-15T02:20:17.905236
130,0.040313,9840.15,2026-04-15T02:21:03.190082
131,0.040321,4353.93,2026-04-15T02:21:48.521240
132,0.040309,9954.56,2026-04-15T02:22:33.653278
133,0.040294,10175.48,2026-04-15T02:23:18.844734
134,0.040269,12854.99,2026-04-15T02:24:04.414004
135,0.040287,6503.79,2026-04-15T02:24:49.699182
136,0.040244,6983.08,2026-04-15T02:25:35.006691
137,0.040239,12566.97,2026-04-15T02:26:20.029020
138,0.040228,10108.96,2026-04-15T02:27:05.110610
139,0.040231,7178.07,2026-04-15T02:27:50.529824
140,0.040224,10012.30,2026-04-15T02:28:35.688298
141,0.040212,12659.78,2026-04-15T02:29:20.881597
142,0.040232,9647.88,2026-04-15T02:30:06.054371
143,0.040209,7194.92,2026-04-15T02:30:51.358142
144,0.040158,12674.39,2026-04-15T02:31:36.466386
145,0.040192,7100.80,2026-04-15T02:32:21.769878
146,0.040175,10104.82,2026-04-15T02:33:07.126584
147,0.040168,7033.95,2026-04-15T02:33:52.036180
148,0.040130,4307.12,2026-04-15T02:34:37.087288
149,0.040177,6062.49,2026-04-15T02:35:22.496084
150,0.040122,7653.54,2026-04-15T02:36:07.957126
151,0.040146,9509.19,2026-04-15T02:36:53.294278
152,0.040124,12852.89,2026-04-15T02:37:38.772599
153,0.040117,10973.07,2026-04-15T02:38:24.329681
154,0.040108,4223.31,2026-04-15T02:39:09.591914
155,0.040081,7139.64,2026-04-15T02:39:54.945808
156,0.040085,7295.20,2026-04-15T02:40:40.190584
157,0.040096,12897.05,2026-04-15T02:41:25.653941
158,0.040052,10039.21,2026-04-15T02:42:10.937820
159,0.040076,12751.99,2026-04-15T02:42:55.770422
160,0.040071,9972.71,2026-04-15T02:43:41.286747
161,0.040041,9711.90,2026-04-15T02:44:26.423642
162,0.040061,6031.66,2026-04-15T02:45:11.096046
163,0.040045,12756.86,2026-04-15T02:45:56.163773
164,0.040022,12970.59,2026-04-15T02:46:41.418941
165,0.040041,4421.65,2026-04-15T02:47:26.759220
166,0.040040,7150.14,2026-04-15T02:48:12.033329
167,0.039987,9903.14,2026-04-15T02:48:57.219468
168,0.040017,10023.84,2026-04-15T02:49:42.152251
169,0.040015,7029.33,2026-04-15T02:50:27.204295
170,0.039986,10140.98,2026-04-15T02:51:12.220113
171,0.039967,12830.51,2026-04-15T02:51:57.105370
172,0.039944,6989.37,2026-04-15T02:52:42.412875
173,0.039975,8620.49,2026-04-15T02:53:27.654707
174,0.039962,12858.34,2026-04-15T02:54:12.928462
175,0.039968,9918.80,2026-04-15T02:54:58.395176
176,0.039961,4323.81,2026-04-15T02:55:43.618224
177,0.039929,7129.52,2026-04-15T02:56:29.105616
178,0.039955,12884.19,2026-04-15T02:57:14.665486
179,0.039942,9983.99,2026-04-15T02:57:59.824402
180,0.039933,7207.69,2026-04-15T02:58:44.769145
181,0.039919,4359.81,2026-04-15T02:59:29.920779
182,0.039914,4179.76,2026-04-15T03:00:15.266005
183,0.039910,9921.39,2026-04-15T03:01:00.427242
184,0.039893,10525.38,2026-04-15T03:01:45.650720
185,0.039941,4242.59,2026-04-15T03:02:30.589517
186,0.039866,7092.16,2026-04-15T03:03:15.805078
187,0.039898,12943.88,2026-04-15T03:04:01.058741
188,0.039892,4258.36,2026-04-15T03:04:46.313380
189,0.039858,7021.50,2026-04-15T03:05:31.134228
190,0.039873,7152.17,2026-04-15T03:06:16.286961
191,0.039866,9983.05,2026-04-15T03:07:01.589540
192,0.039849,7020.49,2026-04-15T03:07:46.902637
193,0.039861,9871.60,2026-04-15T03:08:32.182209
194,0.039861,7028.18,2026-04-15T03:09:17.494765
195,0.039828,7249.56,2026-04-15T03:10:03.052041
196,0.039831,9957.71,2026-04-15T03:10:48.335732
197,0.039869,6953.17,2026-04-15T03:11:33.378480
198,0.039847,4138.34,2026-04-15T03:12:18.711356
199,0.039800,7163.92,2026-04-15T03:13:04.050971
200,0.039845,12952.19,2026-04-15T03:13:49.785614
201,0.039831,7040.26,2026-04-15T03:14:35.891177
202,0.039801,12654.65,2026-04-15T03:15:22.163348
203,0.039798,7077.95,2026-04-15T03:16:08.044664
204,0.039820,10031.26,2026-04-15T03:16:54.631945
205,0.039802,7098.07,2026-04-15T03:17:41.061702
206,0.039823,12838.00,2026-04-15T03:18:27.626257
207,0.039774,10157.09,2026-04-15T03:19:13.977515
208,0.039790,7043.60,2026-04-15T03:20:00.193190
209,0.039774,12757.23,2026-04-15T03:20:46.585724
210,0.039809,10029.82,2026-04-15T03:21:32.488398
211,0.039757,9002.85,2026-04-15T03:22:18.328446
212,0.039762,10037.20,2026-04-15T03:23:04.527768
213,0.039768,9885.63,2026-04-15T03:23:50.445147
214,0.039754,13013.14,2026-04-15T03:24:36.450225
215,0.039729,10110.02,2026-04-15T03:25:22.299031
216,0.039754,10954.92,2026-04-15T03:26:08.331596
217,0.039734,7158.23,2026-04-15T03:26:53.926313
218,0.039734,8852.44,2026-04-15T03:27:39.609387
219,0.039753,7288.95,2026-04-15T03:28:25.009759
220,0.039731,12871.22,2026-04-15T03:29:11.047127
221,0.039715,7219.09,2026-04-15T03:29:56.393050
222,0.039724,12874.56,2026-04-15T03:30:41.959621
223,0.039711,12609.25,2026-04-15T03:31:27.568278
224,0.039726,12851.26,2026-04-15T03:32:13.198717
225,0.039734,7050.26,2026-04-15T03:32:58.587124
226,0.039703,5994.22,2026-04-15T03:33:44.072577
227,0.039694,7116.03,2026-04-15T03:34:29.711935
228,0.039684,6948.98,2026-04-15T03:35:16.132278
229,0.039665,10146.93,2026-04-15T03:36:01.466023
230,0.039690,12576.62,2026-04-15T03:36:47.090113
231,0.039710,9995.52,2026-04-15T03:37:32.323444
232,0.039677,10976.31,2026-04-15T03:38:17.855335
233,0.039685,11470.82,2026-04-15T03:39:03.565816
234,0.039672,12875.51,2026-04-15T03:39:48.921353
235,0.039661,10143.01,2026-04-15T03:40:34.487878
236,0.039686,12915.20,2026-04-15T03:41:20.158843
237,0.039649,9477.50,2026-04-15T03:42:06.166460
238,0.039654,10131.88,2026-04-15T03:42:52.332991
239,0.039645,13012.94,2026-04-15T03:43:38.122082
240,0.039652,10094.10,2026-04-15T03:44:24.076771
241,0.039659,9111.26,2026-04-15T03:45:10.056183
242,0.039660,12806.04,2026-04-15T03:45:55.882241
243,0.039625,10050.40,2026-04-15T03:46:42.171314
244,0.039645,12802.01,2026-04-15T03:47:28.820632
245,0.039633,9830.60,2026-04-15T03:48:15.174892
246,0.039649,12827.06,2026-04-15T03:49:01.879244
247,0.039625,10039.49,2026-04-15T03:49:48.162257
248,0.039616,10054.58,2026-04-15T03:50:34.315804
249,0.039636,12886.91,2026-04-15T03:51:20.567393
250,0.039625,12747.31,2026-04-15T03:52:07.020467
251,0.039609,10118.07,2026-04-15T03:52:53.812634
252,0.039595,10158.66,2026-04-15T03:53:40.011384
253,0.039622,13005.87,2026-04-15T03:54:26.277452
254,0.039604,9991.80,2026-04-15T03:55:12.931210
255,0.039594,9960.95,2026-04-15T03:55:59.059264
256,0.039585,7175.18,2026-04-15T03:56:44.927720
257,0.039587,10112.40,2026-04-15T03:57:30.700594
258,0.039587,12728.29,2026-04-15T03:58:16.620329
259,0.039594,12961.59,2026-04-15T03:59:02.076540
260,0.039564,13020.96,2026-04-15T03:59:47.583362
261,0.039595,9997.18,2026-04-15T04:00:33.332166
262,0.039580,10022.40,2026-04-15T04:01:18.800186
263,0.039556,5818.53,2026-04-15T04:02:04.210854
264,0.039555,9761.00,2026-04-15T04:02:49.650615
265,0.039584,10014.00,2026-04-15T04:03:34.971653
266,0.039565,7169.11,2026-04-15T04:04:20.005573
267,0.039571,7115.59,2026-04-15T04:05:05.270908
268,0.039553,4234.02,2026-04-15T04:05:50.738699
269,0.039566,12911.48,2026-04-15T04:06:35.810786
270,0.039566,4326.91,2026-04-15T04:07:20.949786
271,0.039521,10100.15,2026-04-15T04:08:06.122550
272,0.039546,12939.33,2026-04-15T04:08:51.765657
273,0.039553,12761.39,2026-04-15T04:09:36.802489
274,0.039549,7080.31,2026-04-15T04:10:22.410209
275,0.039530,6914.63,2026-04-15T04:11:07.778610
276,0.039552,12918.63,2026-04-15T04:11:53.264361
277,0.039525,13031.57,2026-04-15T04:12:38.877637
278,0.039545,12995.92,2026-04-15T04:13:24.091923
279,0.039514,7150.47,2026-04-15T04:14:09.525619
280,0.039523,10030.24,2026-04-15T04:14:54.851095
281,0.039517,12692.47,2026-04-15T04:15:40.103288
282,0.039527,4341.10,2026-04-15T04:16:25.460707
283,0.039502,3187.75,2026-04-15T04:17:11.085398
284,0.039513,5922.86,2026-04-15T04:17:56.153307
285,0.039508,10051.88,2026-04-15T04:18:41.295034
286,0.039488,6360.06,2026-04-15T04:19:26.531694
287,0.039506,9994.34,2026-04-15T04:20:11.747378
288,0.039509,12251.35,2026-04-15T04:20:57.107079
289,0.039486,6992.53,2026-04-15T04:21:42.280528
290,0.039495,10149.87,2026-04-15T04:22:27.984308
291,0.039470,9923.30,2026-04-15T04:23:13.187663
292,0.039486,4319.16,2026-04-15T04:23:58.328255
293,0.039494,10094.96,2026-04-15T04:24:43.321125
294,0.039479,6934.08,2026-04-15T04:25:28.446267
295,0.039507,10068.31,2026-04-15T04:26:13.484880
296,0.039482,9928.29,2026-04-15T04:26:58.913267
297,0.039472,10089.03,2026-04-15T04:27:44.326162
298,0.039470,12581.27,2026-04-15T04:28:29.575045
299,0.039474,4370.36,2026-04-15T04:29:14.761063
300,0.039482,7153.58,2026-04-15T04:30:00.159842
301,0.039471,7235.32,2026-04-15T04:30:45.325588
302,0.039452,7277.73,2026-04-15T04:31:30.695517
303,0.039447,12689.60,2026-04-15T04:32:15.698279
304,0.039481,12824.88,2026-04-15T04:33:01.199328
305,0.039453,4244.74,2026-04-15T04:33:46.408988
306,0.039456,7049.89,2026-04-15T04:34:31.740976
307,0.039451,12494.82,2026-04-15T04:35:17.017514
308,0.039428,11061.82,2026-04-15T04:36:02.102415
309,0.039435,10004.94,2026-04-15T04:36:47.174846
310,0.039435,7262.97,2026-04-15T04:37:32.596536
311,0.039412,12833.63,2026-04-15T04:38:18.154793
312,0.039437,10042.99,2026-04-15T04:39:03.611193
313,0.039421,9905.71,2026-04-15T04:39:48.770656
314,0.039438,10051.86,2026-04-15T04:40:33.910923
315,0.039422,7225.34,2026-04-15T04:41:19.248174
316,0.039398,4254.85,2026-04-15T04:42:04.623306
317,0.039426,6966.76,2026-04-15T04:42:50.132080
318,0.039411,13034.01,2026-04-15T04:43:35.300035
319,0.039421,7286.79,2026-04-15T04:44:20.685426
320,0.039404,7280.23,2026-04-15T04:45:05.756127
321,0.039403,12925.48,2026-04-15T04:45:50.840168
322,0.039396,4098.59,2026-04-15T04:46:35.949910
323,0.039410,4322.40,2026-04-15T04:47:21.404532
324,0.039386,4445.28,2026-04-15T04:48:07.077918
325,0.039401,6953.08,2026-04-15T04:48:52.729085
326,0.039374,12979.94,2026-04-15T04:49:38.046333
327,0.039384,10144.48,2026-04-15T04:50:24.009221
328,0.039396,9930.09,2026-04-15T04:51:10.094727
329,0.039389,9958.34,2026-04-15T04:51:56.320203
330,0.039382,12837.17,2026-04-15T04:52:42.788402
331,0.039393,4271.71,2026-04-15T04:53:29.382280
332,0.039361,12768.89,2026-04-15T04:54:15.963823
333,0.039377,11689.25,2026-04-15T04:55:02.498149
334,0.039369,13049.35,2026-04-15T04:55:48.929600
335,0.039392,12813.64,2026-04-15T04:56:35.556819
336,0.039370,9283.72,2026-04-15T04:57:22.118172
337,0.039369,4236.31,2026-04-15T04:58:08.639981
338,0.039366,12904.10,2026-04-15T04:58:55.047563
339,0.039356,7183.87,2026-04-15T04:59:41.338791
340,0.039368,4256.69,2026-04-15T05:00:27.767758
341,0.039341,7058.30,2026-04-15T05:01:13.771826
342,0.039352,10156.94,2026-04-15T05:02:00.383726
343,0.039362,4242.22,2026-04-15T05:02:46.761743
344,0.039360,10189.14,2026-04-15T05:03:33.326586
345,0.039347,7169.93,2026-04-15T05:04:19.544217
346,0.039338,9952.66,2026-04-15T05:05:05.851824
347,0.039348,13020.46,2026-04-15T05:05:52.501909
348,0.039346,10071.70,2026-04-15T05:06:39.115302
349,0.039351,4174.43,2026-04-15T05:07:26.260873
350,0.039328,12966.77,2026-04-15T05:08:13.139221
351,0.039347,6758.35,2026-04-15T05:08:59.499179
352,0.039341,6750.01,2026-04-15T05:09:45.913915
353,0.039334,12708.97,2026-04-15T05:10:31.833998
354,0.039340,10563.33,2026-04-15T05:11:18.310292
355,0.039316,12718.26,2026-04-15T05:12:04.576154
356,0.039343,12779.98,2026-04-15T05:12:50.409168
357,0.039320,8557.78,2026-04-15T05:13:36.082404
358,0.039324,10061.00,2026-04-15T05:14:21.576364
359,0.039323,10154.32,2026-04-15T05:15:07.155282
360,0.039335,7096.83,2026-04-15T05:15:52.527213
361,0.039319,12511.21,2026-04-15T05:16:38.325896
362,0.039303,12874.99,2026-04-15T05:17:24.056596
363,0.039300,4294.01,2026-04-15T05:18:09.636058
364,0.039327,10074.28,2026-04-15T05:18:54.960479
365,0.039315,12903.52,2026-04-15T05:19:40.157459
366,0.039314,6869.17,2026-04-15T05:20:25.416668
367,0.039303,6647.63,2026-04-15T05:21:10.659406
368,0.039308,9996.89,2026-04-15T05:21:56.304620
369,0.039281,4362.62,2026-04-15T05:22:41.861273
370,0.039306,9917.30,2026-04-15T05:23:27.794930
371,0.039308,10692.19,2026-04-15T05:24:13.505934
372,0.039304,12776.30,2026-04-15T05:24:59.843115
373,0.039297,12815.07,2026-04-15T05:25:45.976462
374,0.039281,7138.99,2026-04-15T05:26:32.533269
375,0.039271,10162.96,2026-04-15T05:27:18.541601
376,0.039288,12035.92,2026-04-15T05:28:04.790329
377,0.039305,12902.42,2026-04-15T05:28:51.030452
378,0.039285,10162.91,2026-04-15T05:29:37.194437
379,0.039281,7233.64,2026-04-15T05:30:23.190932
380,0.039285,7109.94,2026-04-15T05:31:09.269343
381,0.039275,9796.15,2026-04-15T05:31:55.458756
382,0.039307,10049.84,2026-04-15T05:32:41.527583
383,0.039272,12779.71,2026-04-15T05:33:27.794629
384,0.039271,7057.10,2026-04-15T05:34:14.219027
385,0.039280,7927.36,2026-04-15T05:35:00.448446
386,0.039285,12745.56,2026-04-15T05:35:46.609450
387,0.039274,12953.53,2026-04-15T05:36:32.549666
388,0.039237,7228.18,2026-04-15T05:37:18.665613
389,0.039254,7075.61,2026-04-15T05:38:04.385114
390,0.039277,9972.50,2026-04-15T05:38:49.827775
391,0.039266,7995.63,2026-04-15T05:39:35.129689
392,0.039241,11542.09,2026-04-15T05:40:20.686292
393,0.039256,4276.75,2026-04-15T05:41:06.001530
394,0.039256,12864.94,2026-04-15T05:41:51.291780
395,0.039271,11218.52,2026-04-15T05:42:36.589472
396,0.039269,7175.83,2026-04-15T05:43:21.829002
397,0.039261,4232.96,2026-04-15T05:44:07.119732
398,0.039249,4298.26,2026-04-15T05:44:52.778933
399,0.039249,10085.66,2026-04-15T05:45:37.968544
400,0.039229,12758.87,2026-04-15T05:46:23.238875
401,0.039257,12881.40,2026-04-15T05:47:08.378706
402,0.039234,7176.54,2026-04-15T05:47:53.721065
403,0.039240,7168.47,2026-04-15T05:48:39.016249
404,0.039222,7154.65,2026-04-15T05:49:24.358165
405,0.039231,7118.83,2026-04-15T05:50:09.413069
406,0.039236,7144.75,2026-04-15T05:50:54.557117
407,0.039237,7088.70,2026-04-15T05:51:39.926821
408,0.039220,4157.54,2026-04-15T05:52:25.158274
409,0.039246,13038.34,2026-04-15T05:53:10.417834
410,0.039239,10213.37,2026-04-15T05:53:55.686651
411,0.039217,7208.50,2026-04-15T05:54:40.979099
412,0.039207,12936.36,2026-04-15T05:55:26.381113
413,0.039208,13165.15,2026-04-15T05:56:11.788804
414,0.039222,7099.68,2026-04-15T05:56:57.389552
415,0.039216,6633.52,2026-04-15T05:57:43.075101
416,0.039214,13030.76,2026-04-15T05:58:28.738693
417,0.039218,10034.17,2026-04-15T05:59:14.530252
418,0.039217,10007.46,2026-04-15T06:00:00.303441
419,0.039220,12609.13,2026-04-15T06:00:46.362835
420,0.039203,7092.80,2026-04-15T06:01:31.808135
