episode,reward,timestamp
1,12810.05,2026-04-15T13:24:34.216842
2,4191.12,2026-04-15T13:24:34.216855
3,12808.31,2026-04-15T13:24:34.216858
4,12846.97,2026-04-15T13:24:34.216860
5,13000.27,2026-04-15T13:24:34.216863
6,12884.00,2026-04-15T13:24:34.216865
7,12854.62,2026-04-15T13:24:34.216867
8,4189.10,2026-04-15T13:24:34.216869
9,12740.27,2026-04-15T13:24:34.216872
10,12829.03,2026-04-15T13:24:34.216874
average,11115.37,2026-04-15T13:24:34.216876
std,3463.20,2026-04-15T13:24:34.216879
