metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-04-15T13:24:34.226038
exp_name,bc-halfcheetah-medexp-seed666,2026-04-15T13:24:34.226051
seed,666,2026-04-15T13:24:34.226054
n_epochs,1000,2026-04-15T13:24:34.226057
data_ratio,1.0,2026-04-15T13:24:34.226059
n_transitions,2000000,2026-04-15T13:24:34.226064
final_loss,0.038842,2026-04-15T13:24:34.226070
avg_reward,11115.37,2026-04-15T13:24:34.226074
std_reward,3463.20,2026-04-15T13:24:34.226077
n_episodes,10,2026-04-15T13:24:34.226079
