metric,value,timestamp
env_name,halfcheetah-medium-v0,2026-04-15T00:41:36.538318
exp_name,bc-halfcheetah-medium-seed666,2026-04-15T00:41:36.538328
seed,666,2026-04-15T00:41:36.538332
n_epochs,1000,2026-04-15T00:41:36.538336
data_ratio,1.0,2026-04-15T00:41:36.538340
n_transitions,1000000,2026-04-15T00:41:36.538344
final_loss,0.023408,2026-04-15T00:41:36.538348
avg_reward,4301.83,2026-04-15T00:41:36.538352
std_reward,144.61,2026-04-15T00:41:36.538355
n_episodes,10,2026-04-15T00:41:36.538357
