epoch,loss,reward,timestamp
1,0.083699,3967.47,2026-04-14T19:24:29.169782
2,0.045987,3542.24,2026-04-14T19:24:46.956535
3,0.038645,4185.37,2026-04-14T19:25:04.696657
4,0.035180,4167.11,2026-04-14T19:25:22.324742
5,0.033144,4191.19,2026-04-14T19:25:40.024124
6,0.031844,4218.70,2026-04-14T19:25:57.925308
7,0.030910,4215.47,2026-04-14T19:26:15.695075
8,0.030279,4150.19,2026-04-14T19:26:33.604532
9,0.029695,4150.18,2026-04-14T19:26:51.413402
10,0.029193,4110.51,2026-04-14T19:27:09.012832
11,0.028873,4242.64,2026-04-14T19:27:26.898692
12,0.028624,4340.16,2026-04-14T19:27:44.446055
13,0.028414,4255.86,2026-04-14T19:28:02.475437
14,0.028158,4216.46,2026-04-14T19:28:20.279081
15,0.027984,4357.72,2026-04-14T19:28:38.075107
16,0.027821,4277.56,2026-04-14T19:28:55.812075
17,0.027617,4335.31,2026-04-14T19:29:13.745985
18,0.027468,4311.80,2026-04-14T19:29:31.857044
19,0.027331,4350.50,2026-04-14T19:29:49.762479
20,0.027250,4233.55,2026-04-14T19:30:07.771486
21,0.027091,4208.40,2026-04-14T19:30:25.590256
22,0.026992,4159.22,2026-04-14T19:30:43.362745
23,0.026931,4392.39,2026-04-14T19:31:01.468923
24,0.026852,4139.97,2026-04-14T19:31:19.439742
25,0.026758,4461.34,2026-04-14T19:31:37.288154
26,0.026646,4332.85,2026-04-14T19:31:55.085623
27,0.026669,4238.11,2026-04-14T19:32:12.613292
28,0.026508,4314.38,2026-04-14T19:32:30.111216
29,0.026438,4151.65,2026-04-14T19:32:47.963659
30,0.026412,4174.97,2026-04-14T19:33:05.932663
31,0.026364,4265.85,2026-04-14T19:33:23.468567
32,0.026305,4209.91,2026-04-14T19:33:41.067492
33,0.026228,3699.49,2026-04-14T19:33:58.753535
34,0.026164,4212.64,2026-04-14T19:34:16.651575
35,0.026144,4192.46,2026-04-14T19:34:34.423936
36,0.026088,4283.43,2026-04-14T19:34:52.173093
37,0.026052,4280.60,2026-04-14T19:35:10.112301
38,0.026030,4219.13,2026-04-14T19:35:27.771432
39,0.025922,4254.29,2026-04-14T19:35:45.678059
40,0.025939,4433.82,2026-04-14T19:36:03.512833
41,0.025890,4310.83,2026-04-14T19:36:21.230036
42,0.025863,4234.48,2026-04-14T19:36:39.122658
43,0.025794,4286.59,2026-04-14T19:36:56.652451
44,0.025780,4360.31,2026-04-14T19:37:14.451083
45,0.025756,4408.83,2026-04-14T19:37:32.261066
46,0.025723,4234.56,2026-04-14T19:37:49.902658
47,0.025719,4276.89,2026-04-14T19:38:07.738489
48,0.025664,4391.38,2026-04-14T19:38:25.480861
49,0.025603,4331.59,2026-04-14T19:38:43.213882
50,0.025641,4192.04,2026-04-14T19:39:00.741134
51,0.025577,4347.81,2026-04-14T19:39:18.669728
52,0.025560,4382.16,2026-04-14T19:39:36.628645
53,0.025521,4196.22,2026-04-14T19:39:54.640092
54,0.025495,4322.58,2026-04-14T19:40:12.335298
55,0.025518,4364.87,2026-04-14T19:40:29.976313
56,0.025470,4176.79,2026-04-14T19:40:47.920460
57,0.025431,4192.68,2026-04-14T19:41:05.916630
58,0.025417,4342.97,2026-04-14T19:41:23.847409
59,0.025392,4303.18,2026-04-14T19:41:41.914602
