epoch,loss,reward,timestamp
1,0.306981,-0.95,2026-02-09T04:02:58.287883
2,0.231045,-1.40,2026-02-09T04:03:00.040674
3,0.213071,-3.31,2026-02-09T04:03:01.754641
4,0.202061,-3.28,2026-02-09T04:03:03.489939
5,0.194661,-4.03,2026-02-09T04:03:05.212893
6,0.188832,-3.78,2026-02-09T04:03:06.923787
7,0.184929,-4.74,2026-02-09T04:03:08.600958
8,0.181676,-3.98,2026-02-09T04:03:10.309314
9,0.178811,-8.61,2026-02-09T04:03:12.030627
10,0.176846,-7.81,2026-02-09T04:03:13.745688
11,0.174341,-9.83,2026-02-09T04:03:15.466759
12,0.173050,-7.67,2026-02-09T04:03:17.181378
13,0.171147,-8.56,2026-02-09T04:03:18.893534
14,0.169496,-5.41,2026-02-09T04:03:20.622095
15,0.168237,0.75,2026-02-09T04:03:22.705420
16,0.166937,-5.60,2026-02-09T04:03:24.871265
17,0.165590,-8.25,2026-02-09T04:03:27.023046
18,0.164528,-2.11,2026-02-09T04:03:29.149349
19,0.163876,-3.89,2026-02-09T04:03:31.241365
20,0.162988,12.89,2026-02-09T04:03:33.429686
21,0.161709,1239.41,2026-02-09T04:03:35.710476
22,0.161111,4.61,2026-02-09T04:03:37.907889
23,0.159973,13.43,2026-02-09T04:03:40.071345
24,0.159444,11.06,2026-02-09T04:03:42.349483
25,0.158670,14.61,2026-02-09T04:03:44.491398
26,0.157856,12.66,2026-02-09T04:03:46.547675
27,0.157714,8.63,2026-02-09T04:03:48.280639
28,0.156708,226.76,2026-02-09T04:03:50.013585
29,0.155826,6.83,2026-02-09T04:03:51.736903
30,0.155281,7.09,2026-02-09T04:03:53.469032
31,0.154962,22.19,2026-02-09T04:03:55.195905
32,0.153938,21.47,2026-02-09T04:03:56.893432
33,0.153812,302.99,2026-02-09T04:03:58.634716
34,0.153454,4.63,2026-02-09T04:04:00.370494
35,0.153147,17.27,2026-02-09T04:04:02.113015
36,0.152586,-8.94,2026-02-09T04:04:03.849512
37,0.152095,1235.17,2026-02-09T04:04:05.574432
38,0.151916,1315.80,2026-02-09T04:04:07.300882
39,0.150729,-4.80,2026-02-09T04:04:08.992820
40,0.150478,-9.11,2026-02-09T04:04:11.066004
41,0.150497,1429.03,2026-02-09T04:04:13.193790
42,0.149952,-8.41,2026-02-09T04:04:15.355788
43,0.149638,1469.09,2026-02-09T04:04:17.507137
44,0.149233,1335.44,2026-02-09T04:04:19.587577
45,0.149636,1340.23,2026-02-09T04:04:21.731876
46,0.148961,-13.48,2026-02-09T04:04:23.883736
47,0.148870,-9.45,2026-02-09T04:04:26.088792
48,0.147679,-6.33,2026-02-09T04:04:28.253132
49,0.147638,1443.12,2026-02-09T04:04:30.364863
50,0.147366,1435.14,2026-02-09T04:04:32.422148
51,0.146894,-6.62,2026-02-09T04:04:34.288356
52,0.146304,1450.57,2026-02-09T04:04:36.008090
53,0.145816,1494.81,2026-02-09T04:04:37.690821
54,0.146383,1449.59,2026-02-09T04:04:39.419366
55,0.145685,-8.45,2026-02-09T04:04:41.148232
56,0.144682,2851.83,2026-02-09T04:04:42.861232
57,0.144523,1452.53,2026-02-09T04:04:44.579797
58,0.145010,1.77,2026-02-09T04:04:46.309251
59,0.144265,1417.36,2026-02-09T04:04:48.024570
60,0.144061,-14.50,2026-02-09T04:04:49.708727
61,0.144316,1434.74,2026-02-09T04:04:51.425110
62,0.144012,1425.13,2026-02-09T04:04:53.141267
63,0.143368,-20.29,2026-02-09T04:04:54.856904
64,0.143085,-22.73,2026-02-09T04:04:56.583487
65,0.143587,4266.34,2026-02-09T04:04:58.786718
66,0.142571,2800.16,2026-02-09T04:05:00.990074
67,0.142451,1384.63,2026-02-09T04:05:03.065472
68,0.141818,2732.36,2026-02-09T04:05:05.216727
69,0.141606,430.98,2026-02-09T04:05:07.296490
70,0.141345,2952.24,2026-02-09T04:05:09.414691
71,0.141869,1389.94,2026-02-09T04:05:11.699224
72,0.141710,1486.18,2026-02-09T04:05:13.912388
73,0.140934,2815.12,2026-02-09T04:05:16.030257
74,0.140635,2857.64,2026-02-09T04:05:18.101429
75,0.140671,2728.95,2026-02-09T04:05:20.233405
76,0.140451,1346.34,2026-02-09T04:05:22.290905
77,0.140568,1469.26,2026-02-09T04:05:24.010702
78,0.140114,1709.04,2026-02-09T04:05:25.729933
79,0.139535,1483.59,2026-02-09T04:05:27.450434
80,0.139259,2695.20,2026-02-09T04:05:29.160738
81,0.139363,-11.67,2026-02-09T04:05:30.849350
82,0.139373,2909.27,2026-02-09T04:05:32.549490
83,0.139166,-28.57,2026-02-09T04:05:34.270796
84,0.138829,11.96,2026-02-09T04:05:35.999792
85,0.138482,-20.87,2026-02-09T04:05:37.719034
86,0.138127,1497.43,2026-02-09T04:05:39.434876
87,0.138359,-22.88,2026-02-09T04:05:41.147719
88,0.138404,1392.49,2026-02-09T04:05:42.829086
89,0.137864,2859.73,2026-02-09T04:05:44.542451
90,0.137954,1233.90,2026-02-09T04:05:46.684397
91,0.137601,-13.51,2026-02-09T04:05:48.887416
92,0.137118,1339.48,2026-02-09T04:05:51.088434
93,0.137238,2251.54,2026-02-09T04:05:53.280499
94,0.136841,2802.20,2026-02-09T04:05:55.518978
95,0.136677,1285.44,2026-02-09T04:05:57.667057
96,0.136823,1477.03,2026-02-09T04:05:59.768943
97,0.136208,2566.72,2026-02-09T04:06:01.891102
98,0.136498,-8.31,2026-02-09T04:06:04.040700
99,0.136796,2845.02,2026-02-09T04:06:06.195806
100,0.135739,2939.13,2026-02-09T04:06:08.304145
101,0.136052,-9.05,2026-02-09T04:06:10.395474
102,0.135537,2823.91,2026-02-09T04:06:12.066319
103,0.134992,2716.48,2026-02-09T04:06:13.813409
104,0.135450,2883.97,2026-02-09T04:06:15.518984
105,0.135276,2885.26,2026-02-09T04:06:17.225670
106,0.135048,1460.67,2026-02-09T04:06:18.943143
107,0.134459,2890.81,2026-02-09T04:06:20.654617
108,0.134382,1467.91,2026-02-09T04:06:22.381635
109,0.134291,2873.63,2026-02-09T04:06:24.052756
110,0.134694,2916.72,2026-02-09T04:06:25.779617
111,0.134566,2864.64,2026-02-09T04:06:27.489492
112,0.133831,1428.94,2026-02-09T04:06:29.174105
113,0.134392,2875.78,2026-02-09T04:06:30.887560
114,0.134069,1340.96,2026-02-09T04:06:32.600459
115,0.133240,4380.01,2026-02-09T04:06:34.599775
116,0.133750,1448.97,2026-02-09T04:06:36.749673
117,0.133383,-17.72,2026-02-09T04:06:38.913576
118,0.133460,1486.42,2026-02-09T04:06:41.101299
119,0.133087,4418.01,2026-02-09T04:06:43.289695
120,0.133165,2896.32,2026-02-09T04:06:45.425662
121,0.132727,4240.68,2026-02-09T04:06:47.558665
122,0.133103,-25.91,2026-02-09T04:06:49.635269
123,0.132555,1526.29,2026-02-09T04:06:51.764068
124,0.132464,1450.12,2026-02-09T04:06:53.967880
125,0.132349,2641.80,2026-02-09T04:06:55.976806
126,0.132542,1757.83,2026-02-09T04:06:58.160009
127,0.132297,2746.06,2026-02-09T04:06:59.876276
128,0.131486,1392.64,2026-02-09T04:07:01.594438
129,0.131820,3105.23,2026-02-09T04:07:03.303963
130,0.131293,2943.09,2026-02-09T04:07:04.973051
131,0.131693,2885.40,2026-02-09T04:07:06.694619
132,0.132206,1425.59,2026-02-09T04:07:08.417233
133,0.131667,-5.23,2026-02-09T04:07:10.145074
134,0.131697,1427.05,2026-02-09T04:07:11.870472
135,0.130648,2371.36,2026-02-09T04:07:13.586621
136,0.131434,2914.14,2026-02-09T04:07:15.302357
137,0.130741,1497.99,2026-02-09T04:07:16.988153
138,0.131473,3484.98,2026-02-09T04:07:18.697663
139,0.130661,1382.08,2026-02-09T04:07:20.421722
140,0.130518,2642.48,2026-02-09T04:07:22.164529
141,0.130908,-30.32,2026-02-09T04:07:24.272093
142,0.130269,1331.02,2026-02-09T04:07:26.485304
143,0.130273,1557.03,2026-02-09T04:07:28.681591
144,0.130080,1370.04,2026-02-09T04:07:30.801533
145,0.129774,2779.17,2026-02-09T04:07:33.007279
146,0.129629,1475.31,2026-02-09T04:07:35.151075
147,0.129750,2923.81,2026-02-09T04:07:37.266725
148,0.129520,2926.25,2026-02-09T04:07:39.345181
149,0.129692,1188.03,2026-02-09T04:07:41.485441
150,0.129425,1397.40,2026-02-09T04:07:43.697586
151,0.129485,4021.51,2026-02-09T04:07:45.841153
152,0.129084,1419.37,2026-02-09T04:07:47.620712
153,0.128846,1344.59,2026-02-09T04:07:49.336243
154,0.128836,4183.97,2026-02-09T04:07:51.043689
155,0.128965,3045.64,2026-02-09T04:07:52.752953
156,0.129067,2886.57,2026-02-09T04:07:54.468761
157,0.128319,1380.41,2026-02-09T04:07:56.184229
158,0.128652,1435.14,2026-02-09T04:07:57.861613
159,0.128239,2827.16,2026-02-09T04:07:59.579621
160,0.128535,2158.85,2026-02-09T04:08:01.324865
161,0.127841,1354.91,2026-02-09T04:08:03.032342
162,0.128097,4413.36,2026-02-09T04:08:04.720804
163,0.128308,2864.88,2026-02-09T04:08:06.419783
164,0.128184,2858.83,2026-02-09T04:08:08.135144
165,0.127615,2967.50,2026-02-09T04:08:09.807257
166,0.127677,1264.77,2026-02-09T04:08:11.984209
167,0.127387,684.97,2026-02-09T04:08:14.183795
168,0.127383,1440.68,2026-02-09T04:08:16.397810
169,0.127755,613.20,2026-02-09T04:08:18.642989
170,0.127744,2815.91,2026-02-09T04:08:20.762271
171,0.127001,3500.03,2026-02-09T04:08:22.881089
172,0.126923,3070.52,2026-02-09T04:08:24.984445
173,0.127153,36.10,2026-02-09T04:08:27.111009
174,0.127330,2779.12,2026-02-09T04:08:29.297701
175,0.127038,2524.29,2026-02-09T04:08:31.502349
176,0.126639,4311.10,2026-02-09T04:08:33.685225
177,0.126530,2769.14,2026-02-09T04:08:35.733964
178,0.126413,4328.75,2026-02-09T04:08:37.436930
179,0.126714,1443.57,2026-02-09T04:08:39.110411
180,0.126244,2920.79,2026-02-09T04:08:40.822626
181,0.126642,2607.05,2026-02-09T04:08:42.531285
182,0.126104,4412.50,2026-02-09T04:08:44.240600
183,0.125940,2961.47,2026-02-09T04:08:45.952202
184,0.125831,1607.84,2026-02-09T04:08:47.665628
185,0.126081,1445.23,2026-02-09T04:08:49.382548
186,0.125527,3706.72,2026-02-09T04:08:51.054260
187,0.125704,2820.65,2026-02-09T04:08:52.759757
188,0.126339,-21.30,2026-02-09T04:08:54.490071
189,0.126577,2813.05,2026-02-09T04:08:56.197250
190,0.125842,3520.39,2026-02-09T04:08:57.910538
191,0.125736,2811.06,2026-02-09T04:08:59.903919
192,0.125684,3144.77,2026-02-09T04:09:02.012321
193,0.125343,1970.82,2026-02-09T04:09:04.092352
194,0.124977,4137.65,2026-02-09T04:09:06.208759
195,0.124559,2022.56,2026-02-09T04:09:08.361662
196,0.125551,3744.68,2026-02-09T04:09:10.394408
197,0.125051,-1.98,2026-02-09T04:09:12.542095
198,0.124548,1443.13,2026-02-09T04:09:14.738461
199,0.124497,1470.41,2026-02-09T04:09:16.944784
200,0.124351,1254.46,2026-02-09T04:09:19.047398
201,0.124574,4235.07,2026-02-09T04:09:21.197856
202,0.124817,2980.72,2026-02-09T04:09:23.370365
203,0.125114,-9.03,2026-02-09T04:09:25.127938
204,0.124821,3731.66,2026-02-09T04:09:26.829236
205,0.124539,2610.91,2026-02-09T04:09:28.544969
206,0.124687,4543.79,2026-02-09T04:09:30.250884
207,0.124727,4207.37,2026-02-09T04:09:31.916799
208,0.124387,1371.89,2026-02-09T04:09:33.643866
209,0.123862,2609.16,2026-02-09T04:09:35.355867
210,0.123912,1568.55,2026-02-09T04:09:37.064775
211,0.123617,3842.32,2026-02-09T04:09:38.768935
212,0.123977,1943.12,2026-02-09T04:09:40.475939
213,0.123990,1359.75,2026-02-09T04:09:42.187668
214,0.123918,1523.78,2026-02-09T04:09:43.867688
215,0.123544,3637.83,2026-02-09T04:09:45.568146
216,0.123322,4084.61,2026-02-09T04:09:47.358442
217,0.123304,1782.21,2026-02-09T04:09:49.461262
218,0.123564,3995.93,2026-02-09T04:09:51.556507
219,0.123321,4027.84,2026-02-09T04:09:53.756788
220,0.123130,1547.03,2026-02-09T04:09:55.883508
221,0.123643,4155.83,2026-02-09T04:09:58.031005
222,0.122853,3274.78,2026-02-09T04:10:00.220022
223,0.123078,2224.34,2026-02-09T04:10:02.420651
224,0.122878,1375.71,2026-02-09T04:10:04.517357
225,0.122846,2397.58,2026-02-09T04:10:06.587485
226,0.122526,1569.10,2026-02-09T04:10:08.853914
227,0.122840,3047.55,2026-02-09T04:10:10.989356
228,0.122815,3905.07,2026-02-09T04:10:12.667621
229,0.122687,3001.72,2026-02-09T04:10:14.379536
230,0.122570,992.67,2026-02-09T04:10:16.110145
231,0.121788,3822.85,2026-02-09T04:10:17.820130
232,0.122052,3705.25,2026-02-09T04:10:19.525351
233,0.122126,1580.92,2026-02-09T04:10:21.247392
234,0.122384,1594.55,2026-02-09T04:10:22.966281
235,0.122388,4326.15,2026-02-09T04:10:24.638721
236,0.121755,1548.39,2026-02-09T04:10:26.366990
237,0.122033,2981.89,2026-02-09T04:10:28.078197
238,0.121799,3712.82,2026-02-09T04:10:29.789320
