metric,value,timestamp
env_name,halfcheetah-medium-replay-v0,2026-04-15T13:56:27.038736
exp_name,bc-halfcheetah-medrep-seed666,2026-04-15T13:56:27.038743
seed,666,2026-04-15T13:56:27.038745
n_epochs,1000,2026-04-15T13:56:27.038748
data_ratio,1.0,2026-04-15T13:56:27.038750
n_transitions,101000,2026-04-15T13:56:27.038753
final_loss,0.103584,2026-04-15T13:56:27.038757
avg_reward,4413.43,2026-04-15T13:56:27.038760
std_reward,124.50,2026-04-15T13:56:27.038763
n_episodes,10,2026-04-15T13:56:27.038765
