metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-12T23:48:57.666196
exp_name,bc-hopper-medexp-12k-run1,2026-02-12T23:48:57.666202
seed,42,2026-02-12T23:48:57.666205
n_epochs,1000,2026-02-12T23:48:57.666207
data_ratio,1.0,2026-02-12T23:48:57.666209
n_transitions,12500,2026-02-12T23:48:57.666212
final_loss,0.068485,2026-02-12T23:48:57.666216
avg_reward,1941.06,2026-02-12T23:48:57.666219
std_reward,1126.79,2026-02-12T23:48:57.666221
n_episodes,10,2026-02-12T23:48:57.666223
