metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-10T12:26:02.615358
exp_name,bc-hopper-medexp-half-run1,2026-02-10T12:26:02.615364
seed,42,2026-02-10T12:26:02.615367
n_epochs,1000,2026-02-10T12:26:02.615369
data_ratio,0.5,2026-02-10T12:26:02.615371
n_transitions,600459,2026-02-10T12:26:02.615375
final_loss,0.065504,2026-02-10T12:26:02.615378
avg_reward,3565.28,2026-02-10T12:26:02.615382
std_reward,213.94,2026-02-10T12:26:02.615384
n_episodes,10,2026-02-10T12:26:02.615386
