metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-10T13:47:46.306424
exp_name,bc-hopper-medexp-quarter-run2,2026-02-10T13:47:46.306430
seed,43,2026-02-10T13:47:46.306433
n_epochs,1000,2026-02-10T13:47:46.306435
data_ratio,0.25,2026-02-10T13:47:46.306437
n_transitions,300229,2026-02-10T13:47:46.306441
final_loss,0.065590,2026-02-10T13:47:46.306445
avg_reward,3621.56,2026-02-10T13:47:46.306448
std_reward,9.11,2026-02-10T13:47:46.306451
n_episodes,10,2026-02-10T13:47:46.306453
