epoch,loss,reward,timestamp
1,0.146793,774.67,2026-02-07T18:41:59.723378
2,0.111323,1804.71,2026-02-07T18:42:17.847901
3,0.102271,2035.55,2026-02-07T18:42:36.944382
4,0.097296,1082.59,2026-02-07T18:42:54.655035
5,0.094022,564.87,2026-02-07T18:43:11.894571
6,0.091489,411.56,2026-02-07T18:43:28.970688
7,0.089549,351.11,2026-02-07T18:43:46.004011
8,0.088056,540.45,2026-02-07T18:44:03.346486
9,0.086832,2063.15,2026-02-07T18:44:21.724562
10,0.085559,347.77,2026-02-07T18:44:39.063218
11,0.084675,2674.43,2026-02-07T18:44:58.329176
12,0.083835,2110.15,2026-02-07T18:45:17.460218
13,0.083206,2583.70,2026-02-07T18:45:36.220915
14,0.082475,1091.92,2026-02-07T18:45:53.972125
15,0.081812,842.82,2026-02-07T18:46:11.447652
16,0.081333,1642.75,2026-02-07T18:46:29.609035
17,0.080851,3347.01,2026-02-07T18:46:48.973383
18,0.080253,839.50,2026-02-07T18:47:06.571547
19,0.079966,3659.58,2026-02-07T18:47:26.364875
20,0.079519,3646.61,2026-02-07T18:47:46.247071
21,0.079149,2627.50,2026-02-07T18:48:05.600171
22,0.078867,3411.83,2026-02-07T18:48:25.530183
23,0.078465,3617.21,2026-02-07T18:48:45.657057
24,0.078080,2696.08,2026-02-07T18:49:05.034078
25,0.077828,3684.20,2026-02-07T18:49:25.047886
26,0.077644,281.19,2026-02-07T18:49:42.136207
27,0.077309,480.56,2026-02-07T18:49:59.313167
28,0.077037,3645.19,2026-02-07T18:50:19.380967
29,0.076859,3635.07,2026-02-07T18:50:39.773783
30,0.076522,704.89,2026-02-07T18:50:56.952874
31,0.076356,746.74,2026-02-07T18:51:14.492602
32,0.076161,3645.98,2026-02-07T18:51:33.860582
33,0.075971,3616.08,2026-02-07T18:51:53.612217
34,0.075956,3663.71,2026-02-07T18:52:13.507654
35,0.075581,3642.63,2026-02-07T18:52:33.600210
36,0.075407,1145.27,2026-02-07T18:52:51.420264
37,0.075146,1575.61,2026-02-07T18:53:09.887214
38,0.075173,1646.95,2026-02-07T18:53:28.355241
39,0.074866,3652.34,2026-02-07T18:53:48.539340
40,0.074688,3638.27,2026-02-07T18:54:08.593947
41,0.074488,3120.55,2026-02-07T18:54:28.284470
42,0.074486,3088.33,2026-02-07T18:54:47.681956
43,0.074315,1688.50,2026-02-07T18:55:06.185024
44,0.074051,1876.57,2026-02-07T18:55:24.474116
45,0.074062,3648.35,2026-02-07T18:55:44.884547
46,0.073971,2663.69,2026-02-07T18:56:03.793816
47,0.073910,3613.55,2026-02-07T18:56:23.645851
48,0.073732,3398.86,2026-02-07T18:56:43.728987
49,0.073480,3627.52,2026-02-07T18:57:03.486853
50,0.073452,3624.30,2026-02-07T18:57:23.290853
51,0.073166,1508.47,2026-02-07T18:57:41.470944
52,0.073343,2739.49,2026-02-07T18:58:00.852014
53,0.073150,3677.48,2026-02-07T18:58:20.807984
54,0.073062,2967.82,2026-02-07T18:58:40.295613
55,0.073032,3633.22,2026-02-07T18:59:00.008968
56,0.072808,3651.08,2026-02-07T18:59:19.583159
57,0.072845,593.58,2026-02-07T18:59:36.965606
58,0.072714,1902.96,2026-02-07T18:59:55.366420
59,0.072674,3645.97,2026-02-07T19:00:15.161064
60,0.072505,3297.99,2026-02-07T19:00:35.188849
61,0.072405,3630.43,2026-02-07T19:00:54.935255
62,0.072364,497.17,2026-02-07T19:01:12.559904
63,0.072363,274.72,2026-02-07T19:01:29.996192
64,0.072182,3376.87,2026-02-07T19:01:49.384740
65,0.072217,3636.34,2026-02-07T19:02:09.054001
66,0.072181,3649.46,2026-02-07T19:02:28.779231
67,0.072001,3608.53,2026-02-07T19:02:48.757324
68,0.071985,723.99,2026-02-07T19:03:06.394446
69,0.071899,3624.48,2026-02-07T19:03:26.711026
70,0.071856,3192.11,2026-02-07T19:03:46.084816
71,0.071889,3613.00,2026-02-07T19:04:06.288835
72,0.071723,3639.04,2026-02-07T19:04:26.016554
73,0.071667,3428.58,2026-02-07T19:04:43.533370
74,0.071617,3632.80,2026-02-07T19:05:03.514248
75,0.071627,3684.21,2026-02-07T19:05:23.311788
76,0.071470,1918.46,2026-02-07T19:05:42.083991
77,0.071403,2241.84,2026-02-07T19:06:00.696816
78,0.071386,2609.23,2026-02-07T19:06:19.658574
79,0.071393,2740.80,2026-02-07T19:06:39.062254
80,0.071390,3617.10,2026-02-07T19:06:59.238623
81,0.071201,3638.27,2026-02-07T19:07:19.403748
82,0.071216,3640.28,2026-02-07T19:07:39.265259
83,0.071136,3622.76,2026-02-07T19:07:59.383252
84,0.071127,3603.77,2026-02-07T19:08:18.824480
85,0.071036,3667.30,2026-02-07T19:08:38.235763
86,0.071094,3628.77,2026-02-07T19:08:57.750336
87,0.070932,3636.02,2026-02-07T19:09:17.982088
88,0.071016,3626.66,2026-02-07T19:09:37.164007
89,0.070861,2921.37,2026-02-07T19:09:55.334796
90,0.070888,719.33,2026-02-07T19:10:12.202171
91,0.070789,3626.28,2026-02-07T19:10:31.561356
92,0.070816,3684.80,2026-02-07T19:10:50.545883
93,0.070735,3625.88,2026-02-07T19:11:09.241530
94,0.070664,3619.37,2026-02-07T19:11:28.130580
95,0.070709,3637.10,2026-02-07T19:11:46.730441
96,0.070584,3682.32,2026-02-07T19:12:06.758313
97,0.070617,3658.58,2026-02-07T19:12:25.471788
98,0.070493,3091.35,2026-02-07T19:12:44.016366
99,0.070570,3502.76,2026-02-07T19:13:03.741287
100,0.070503,3635.11,2026-02-07T19:13:22.890821
101,0.070439,3008.49,2026-02-07T19:13:41.188928
102,0.070450,1219.91,2026-02-07T19:13:57.647638
103,0.070410,3613.40,2026-02-07T19:14:17.786321
104,0.070294,3181.69,2026-02-07T19:14:36.366527
105,0.070253,3633.19,2026-02-07T19:14:56.112502
106,0.070311,3631.28,2026-02-07T19:15:14.986078
107,0.070289,3616.67,2026-02-07T19:15:35.229916
108,0.070246,3676.29,2026-02-07T19:15:55.464089
109,0.070126,3623.68,2026-02-07T19:16:14.402198
110,0.070114,3631.97,2026-02-07T19:16:33.996882
111,0.070172,1637.51,2026-02-07T19:16:52.179704
112,0.070196,3625.35,2026-02-07T19:17:12.447781
113,0.070139,3088.91,2026-02-07T19:17:31.017733
114,0.070076,2688.28,2026-02-07T19:17:49.667963
115,0.069963,3624.51,2026-02-07T19:18:08.283456
116,0.070017,3619.68,2026-02-07T19:18:27.917302
117,0.069971,3620.40,2026-02-07T19:18:47.936045
118,0.069973,3402.63,2026-02-07T19:19:07.749194
119,0.069871,3294.25,2026-02-07T19:19:27.622556
120,0.069920,3638.99,2026-02-07T19:19:47.915138
121,0.069864,3613.85,2026-02-07T19:20:07.543867
122,0.069795,3626.55,2026-02-07T19:20:27.874447
