metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-04-14T18:03:58.409385
exp_name,bc-hopper-medexp-seed333,2026-04-14T18:03:58.409394
seed,333,2026-04-14T18:03:58.409397
n_epochs,1000,2026-04-14T18:03:58.409399
data_ratio,1.0,2026-04-14T18:03:58.409402
n_transitions,1200919,2026-04-14T18:03:58.409407
final_loss,0.065590,2026-04-14T18:03:58.409411
avg_reward,2764.75,2026-04-14T18:03:58.409415
std_reward,1315.31,2026-04-14T18:03:58.409418
n_episodes,10,2026-04-14T18:03:58.409420
