epoch,loss,reward,timestamp
1,0.145340,528.77,2026-04-14T07:53:28.719288
2,0.110752,799.99,2026-04-14T07:53:45.500189
3,0.102328,1868.01,2026-04-14T07:54:04.207617
4,0.097543,727.55,2026-04-14T07:54:21.791582
5,0.094482,2360.58,2026-04-14T07:54:39.430986
6,0.091617,645.32,2026-04-14T07:54:55.604004
7,0.089648,725.44,2026-04-14T07:55:12.190216
8,0.088007,549.24,2026-04-14T07:55:29.242876
9,0.086830,486.28,2026-04-14T07:55:46.492413
10,0.085570,625.99,2026-04-14T07:56:03.261449
11,0.084578,2842.97,2026-04-14T07:56:22.816098
12,0.083781,2202.25,2026-04-14T07:56:41.138981
13,0.083005,1672.79,2026-04-14T07:56:59.858771
14,0.082407,504.70,2026-04-14T07:57:17.294362
15,0.081772,1207.83,2026-04-14T07:57:34.376919
16,0.081121,933.53,2026-04-14T07:57:51.048345
17,0.080687,3646.38,2026-04-14T07:58:11.091862
18,0.080319,3662.22,2026-04-14T07:58:31.336044
19,0.079832,2698.69,2026-04-14T07:58:49.892327
20,0.079544,650.15,2026-04-14T07:59:06.862568
21,0.079041,1527.85,2026-04-14T07:59:24.019224
22,0.078729,668.29,2026-04-14T07:59:40.361654
23,0.078388,1908.02,2026-04-14T07:59:58.313749
24,0.077975,3654.47,2026-04-14T08:00:17.995466
25,0.077683,2862.08,2026-04-14T08:00:36.652660
26,0.077435,3650.28,2026-04-14T08:00:55.919749
27,0.077153,632.84,2026-04-14T08:01:12.550457
28,0.076993,1885.66,2026-04-14T08:01:31.036840
29,0.076680,3624.38,2026-04-14T08:01:50.910640
30,0.076531,3404.84,2026-04-14T08:02:10.299983
31,0.076167,631.36,2026-04-14T08:02:27.804618
32,0.075945,3612.07,2026-04-14T08:02:46.657446
33,0.075705,3643.01,2026-04-14T08:03:06.079437
34,0.075494,3616.07,2026-04-14T08:03:26.717833
35,0.075366,3606.18,2026-04-14T08:03:46.176523
36,0.075167,3289.72,2026-04-14T08:04:04.819034
37,0.074998,938.19,2026-04-14T08:04:21.660321
38,0.074809,2535.78,2026-04-14T08:04:39.696534
39,0.074658,3412.31,2026-04-14T08:04:58.383156
40,0.074502,3624.76,2026-04-14T08:05:17.248685
41,0.074381,3634.58,2026-04-14T08:05:36.980297
42,0.074316,3645.62,2026-04-14T08:05:55.899741
43,0.074015,3510.14,2026-04-14T08:06:15.207892
44,0.073934,3636.63,2026-04-14T08:06:34.418711
45,0.073805,2661.34,2026-04-14T08:06:53.482952
46,0.073709,3645.23,2026-04-14T08:07:12.554559
47,0.073608,3394.39,2026-04-14T08:07:31.301439
48,0.073571,364.47,2026-04-14T08:07:47.354791
49,0.073468,518.18,2026-04-14T08:08:04.154675
50,0.073248,2091.35,2026-04-14T08:08:23.135654
51,0.073124,3642.09,2026-04-14T08:08:43.292911
52,0.073115,3617.91,2026-04-14T08:09:03.142537
53,0.073040,795.25,2026-04-14T08:09:20.392480
54,0.072982,3630.53,2026-04-14T08:09:39.157780
55,0.072818,543.37,2026-04-14T08:09:55.525629
56,0.072818,1717.38,2026-04-14T08:10:13.999031
57,0.072673,3017.28,2026-04-14T08:10:32.459338
58,0.072480,3531.83,2026-04-14T08:10:52.448084
59,0.072552,679.17,2026-04-14T08:11:09.059366
60,0.072505,1610.71,2026-04-14T08:11:27.210505
61,0.072239,2678.86,2026-04-14T08:11:45.648841
62,0.072266,1908.92,2026-04-14T08:12:03.461863
63,0.072193,3639.82,2026-04-14T08:12:22.359524
64,0.072119,1410.36,2026-04-14T08:12:39.650861
65,0.072079,3611.62,2026-04-14T08:13:00.033637
66,0.071982,3631.79,2026-04-14T08:13:18.915788
67,0.071998,361.37,2026-04-14T08:13:35.724257
68,0.071925,376.64,2026-04-14T08:13:52.130157
69,0.071865,3626.20,2026-04-14T08:14:11.468810
70,0.071791,297.86,2026-04-14T08:14:27.580558
71,0.071763,1465.41,2026-04-14T08:14:45.677767
72,0.071651,3066.43,2026-04-14T08:15:05.135760
73,0.071628,3616.64,2026-04-14T08:15:25.215619
74,0.071640,3613.73,2026-04-14T08:15:45.119811
75,0.071495,3628.10,2026-04-14T08:16:04.911024
76,0.071507,3617.95,2026-04-14T08:16:24.899223
77,0.071413,3628.78,2026-04-14T08:16:44.347451
78,0.071354,2545.92,2026-04-14T08:17:04.042795
79,0.071334,3619.76,2026-04-14T08:17:24.462148
80,0.071281,3624.79,2026-04-14T08:17:43.855819
81,0.071215,3629.12,2026-04-14T08:18:03.433829
82,0.071184,3637.18,2026-04-14T08:18:22.549735
83,0.071189,3618.66,2026-04-14T08:18:41.588208
84,0.071144,3621.38,2026-04-14T08:19:01.031386
85,0.071041,1888.92,2026-04-14T08:19:18.379761
86,0.071038,3625.10,2026-04-14T08:19:38.981826
87,0.071096,3615.43,2026-04-14T08:19:58.155151
88,0.070854,3622.68,2026-04-14T08:20:17.362965
89,0.070960,864.41,2026-04-14T08:20:34.064857
90,0.070969,2483.81,2026-04-14T08:20:52.300849
91,0.070863,2490.10,2026-04-14T08:21:10.692863
92,0.070780,1933.40,2026-04-14T08:21:29.041809
93,0.070738,3628.56,2026-04-14T08:21:49.708920
94,0.070726,3176.32,2026-04-14T08:22:09.836558
95,0.070774,425.48,2026-04-14T08:22:27.429825
96,0.070606,3624.32,2026-04-14T08:22:46.692256
97,0.070650,3393.16,2026-04-14T08:23:05.630029
98,0.070642,3614.74,2026-04-14T08:23:24.633241
99,0.070552,3612.16,2026-04-14T08:23:44.078132
100,0.070506,3631.03,2026-04-14T08:24:03.370164
101,0.070521,3634.98,2026-04-14T08:24:22.866219
102,0.070456,3691.06,2026-04-14T08:24:41.847596
103,0.070448,2678.27,2026-04-14T08:25:00.349190
104,0.070394,683.16,2026-04-14T08:25:17.112849
105,0.070442,3629.70,2026-04-14T08:25:37.645425
106,0.070354,2563.90,2026-04-14T08:25:55.661767
107,0.070258,3643.09,2026-04-14T08:26:14.403368
108,0.070214,3627.01,2026-04-14T08:26:33.735421
109,0.070281,3631.71,2026-04-14T08:26:53.222629
110,0.070233,663.19,2026-04-14T08:27:09.407328
111,0.070250,3615.35,2026-04-14T08:27:29.068060
112,0.070123,525.89,2026-04-14T08:27:45.282376
113,0.070126,3054.08,2026-04-14T08:28:05.183836
114,0.070074,3624.02,2026-04-14T08:28:23.870851
115,0.070170,1420.52,2026-04-14T08:28:40.630199
116,0.069999,480.17,2026-04-14T08:28:57.661969
117,0.070087,3626.57,2026-04-14T08:29:16.686892
118,0.070015,2505.30,2026-04-14T08:29:35.135949
119,0.070012,3668.31,2026-04-14T08:29:54.361395
120,0.070024,3634.53,2026-04-14T08:30:14.383830
121,0.069956,3620.65,2026-04-14T08:30:34.959018
122,0.069901,2747.67,2026-04-14T08:30:53.473210
123,0.069877,3633.37,2026-04-14T08:31:13.816700
124,0.069882,1540.04,2026-04-14T08:31:31.187693
125,0.069818,3637.08,2026-04-14T08:31:50.144575
126,0.069848,627.03,2026-04-14T08:32:06.359454
127,0.069762,3579.00,2026-04-14T08:32:25.484174
