metric,value,timestamp
env_name,hopper-medium-replay-v0,2026-04-14T19:23:59.338214
exp_name,bc-hopper-medrep-seed666,2026-04-14T19:23:59.338220
seed,666,2026-04-14T19:23:59.338222
n_epochs,1000,2026-04-14T19:23:59.338225
data_ratio,1.0,2026-04-14T19:23:59.338227
n_transitions,200919,2026-04-14T19:23:59.338230
final_loss,0.082207,2026-04-14T19:23:59.338234
avg_reward,644.51,2026-04-14T19:23:59.338237
std_reward,335.94,2026-04-14T19:23:59.338239
n_episodes,10,2026-04-14T19:23:59.338241
