epoch,loss,reward,timestamp
1,0.187309,52.07,2026-04-14T18:32:16.289470
2,0.155943,288.11,2026-04-14T18:32:19.587773
3,0.146105,178.20,2026-04-14T18:32:22.894932
4,0.140264,182.68,2026-04-14T18:32:26.185952
5,0.136172,183.52,2026-04-14T18:32:29.520701
6,0.133165,622.40,2026-04-14T18:32:32.875835
7,0.130810,309.05,2026-04-14T18:32:36.217228
8,0.128777,277.21,2026-04-14T18:32:39.395112
9,0.127219,197.34,2026-04-14T18:32:42.598540
10,0.125329,181.14,2026-04-14T18:32:45.882052
11,0.124506,339.06,2026-04-14T18:32:49.143706
12,0.123662,178.90,2026-04-14T18:32:52.348405
13,0.122244,365.77,2026-04-14T18:32:55.640286
14,0.121128,391.88,2026-04-14T18:32:58.894335
15,0.121055,188.20,2026-04-14T18:33:02.018769
16,0.119517,439.95,2026-04-14T18:33:05.376063
17,0.118944,192.51,2026-04-14T18:33:08.662854
18,0.118138,457.97,2026-04-14T18:33:11.878693
19,0.117373,554.86,2026-04-14T18:33:15.063535
20,0.117295,422.87,2026-04-14T18:33:18.403453
21,0.116667,212.63,2026-04-14T18:33:21.459901
22,0.115984,195.65,2026-04-14T18:33:24.634777
23,0.115316,405.87,2026-04-14T18:33:27.939962
24,0.115205,346.97,2026-04-14T18:33:31.205729
25,0.114967,234.31,2026-04-14T18:33:34.350235
26,0.114179,392.98,2026-04-14T18:33:37.523877
27,0.113701,233.85,2026-04-14T18:33:40.683417
28,0.113430,422.32,2026-04-14T18:33:43.980375
29,0.112992,729.15,2026-04-14T18:33:47.313041
30,0.112553,190.58,2026-04-14T18:33:50.567941
31,0.112524,311.77,2026-04-14T18:33:53.910884
32,0.111833,208.04,2026-04-14T18:33:57.094331
33,0.111851,246.15,2026-04-14T18:34:00.354461
34,0.111437,210.03,2026-04-14T18:34:03.577730
35,0.111193,178.09,2026-04-14T18:34:06.805429
36,0.110785,177.32,2026-04-14T18:34:10.041675
37,0.110390,204.08,2026-04-14T18:34:13.254596
38,0.110315,215.24,2026-04-14T18:34:16.473788
39,0.109841,395.77,2026-04-14T18:34:19.765746
40,0.109911,210.93,2026-04-14T18:34:22.976940
41,0.109463,416.79,2026-04-14T18:34:26.286672
42,0.109078,258.26,2026-04-14T18:34:29.518307
43,0.109426,625.69,2026-04-14T18:34:32.942114
44,0.108925,374.83,2026-04-14T18:34:36.137120
45,0.108592,179.65,2026-04-14T18:34:39.297140
46,0.108533,180.71,2026-04-14T18:34:42.646914
47,0.107952,570.61,2026-04-14T18:34:45.957716
48,0.107788,237.89,2026-04-14T18:34:49.111270
49,0.107684,373.20,2026-04-14T18:34:52.397866
50,0.107546,185.42,2026-04-14T18:34:55.751936
51,0.106846,277.16,2026-04-14T18:34:59.003845
52,0.107141,251.89,2026-04-14T18:35:02.286798
53,0.107013,399.17,2026-04-14T18:35:05.450934
54,0.106897,656.66,2026-04-14T18:35:08.822530
55,0.106816,257.21,2026-04-14T18:35:11.990840
56,0.106261,418.13,2026-04-14T18:35:15.227355
57,0.106333,177.74,2026-04-14T18:35:18.659990
58,0.105938,179.15,2026-04-14T18:35:21.909907
59,0.106229,394.21,2026-04-14T18:35:25.061262
60,0.105945,470.34,2026-04-14T18:35:28.155696
61,0.105630,553.98,2026-04-14T18:35:31.422552
62,0.105479,216.74,2026-04-14T18:35:34.704046
63,0.105168,433.64,2026-04-14T18:35:38.075667
64,0.104806,184.56,2026-04-14T18:35:41.361702
65,0.105109,601.98,2026-04-14T18:35:44.557773
66,0.104520,237.11,2026-04-14T18:35:47.865446
67,0.104941,184.97,2026-04-14T18:35:51.160482
68,0.105058,491.65,2026-04-14T18:35:54.346304
69,0.104665,512.48,2026-04-14T18:35:57.529568
70,0.104291,567.81,2026-04-14T18:36:00.879503
71,0.104088,486.22,2026-04-14T18:36:04.213764
72,0.103990,390.93,2026-04-14T18:36:07.305541
73,0.103636,230.99,2026-04-14T18:36:10.504680
74,0.103573,187.47,2026-04-14T18:36:13.789562
75,0.103590,183.89,2026-04-14T18:36:16.967173
76,0.103348,359.25,2026-04-14T18:36:20.222050
77,0.103727,425.22,2026-04-14T18:36:23.472130
78,0.103428,219.01,2026-04-14T18:36:26.632407
79,0.103279,761.61,2026-04-14T18:36:30.079107
80,0.103160,287.61,2026-04-14T18:36:33.353733
81,0.102902,712.51,2026-04-14T18:36:36.751719
82,0.102892,857.86,2026-04-14T18:36:40.305750
83,0.102632,288.51,2026-04-14T18:36:43.498013
84,0.102814,522.17,2026-04-14T18:36:46.730810
85,0.102214,183.02,2026-04-14T18:36:49.870053
86,0.102224,179.12,2026-04-14T18:36:53.076686
87,0.102013,178.22,2026-04-14T18:36:56.205723
88,0.102031,545.05,2026-04-14T18:36:59.620594
89,0.101911,901.00,2026-04-14T18:37:02.862302
90,0.102320,363.85,2026-04-14T18:37:06.248294
91,0.101867,240.70,2026-04-14T18:37:09.530138
92,0.101747,216.96,2026-04-14T18:37:12.822361
93,0.101819,199.68,2026-04-14T18:37:16.148406
94,0.101843,179.29,2026-04-14T18:37:19.288939
95,0.101488,401.46,2026-04-14T18:37:22.666927
96,0.101534,445.26,2026-04-14T18:37:25.981199
97,0.101416,349.88,2026-04-14T18:37:29.205434
98,0.101131,296.08,2026-04-14T18:37:32.349007
99,0.101068,692.21,2026-04-14T18:37:35.714021
100,0.101102,234.14,2026-04-14T18:37:38.792984
101,0.100658,271.77,2026-04-14T18:37:42.012931
102,0.100705,529.46,2026-04-14T18:37:45.193669
103,0.100674,315.40,2026-04-14T18:37:48.498426
104,0.100512,188.39,2026-04-14T18:37:51.542701
105,0.100352,713.30,2026-04-14T18:37:54.885241
106,0.100412,290.54,2026-04-14T18:37:58.303279
107,0.100123,303.03,2026-04-14T18:38:01.568609
108,0.100304,179.87,2026-04-14T18:38:04.753790
109,0.100129,383.16,2026-04-14T18:38:08.044124
110,0.100152,205.84,2026-04-14T18:38:11.464785
111,0.099688,179.29,2026-04-14T18:38:14.836499
112,0.099606,648.21,2026-04-14T18:38:18.257565
113,0.100259,334.50,2026-04-14T18:38:21.579085
