metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-02-09T22:18:35.078109
exp_name,bc-walker2d-medexp-half-run2,2026-02-09T22:18:35.078118
seed,43,2026-02-09T22:18:35.078121
n_epochs,1000,2026-02-09T22:18:35.078123
data_ratio,0.5,2026-02-09T22:18:35.078125
n_transitions,1000000,2026-02-09T22:18:35.078130
final_loss,0.068797,2026-02-09T22:18:35.078134
avg_reward,63.04,2026-02-09T22:18:35.078137
std_reward,94.10,2026-02-09T22:18:35.078140
n_episodes,10,2026-02-09T22:18:35.078142
