epoch,loss,reward,timestamp
1,0.206145,12.30,2026-02-09T18:10:27.368384
2,0.150513,484.34,2026-02-09T18:10:42.312747
3,0.133057,242.04,2026-02-09T18:10:56.991922
4,0.123012,2352.46,2026-02-09T18:11:15.125729
5,0.116646,324.84,2026-02-09T18:11:30.078497
6,0.111613,113.00,2026-02-09T18:11:44.408969
7,0.107990,192.87,2026-02-09T18:11:57.815779
8,0.104837,137.80,2026-02-09T18:12:12.495375
9,0.102427,234.36,2026-02-09T18:12:27.152590
10,0.100292,766.82,2026-02-09T18:12:42.357003
11,0.098506,180.67,2026-02-09T18:12:56.782016
12,0.097062,394.72,2026-02-09T18:13:11.189066
13,0.095483,56.92,2026-02-09T18:13:25.090258
14,0.094435,160.91,2026-02-09T18:13:39.882298
15,0.093434,116.17,2026-02-09T18:13:54.342635
16,0.092402,218.68,2026-02-09T18:14:09.017735
17,0.091471,1330.24,2026-02-09T18:14:26.318005
18,0.090640,202.30,2026-02-09T18:14:40.922595
19,0.090008,2822.24,2026-02-09T18:14:59.834367
20,0.089322,108.59,2026-02-09T18:15:13.899320
21,0.088752,375.64,2026-02-09T18:15:28.798915
22,0.088141,438.11,2026-02-09T18:15:43.606452
23,0.087642,207.15,2026-02-09T18:15:57.672622
24,0.087056,134.93,2026-02-09T18:16:11.840464
25,0.086573,238.89,2026-02-09T18:16:26.488292
26,0.086173,321.09,2026-02-09T18:16:41.829282
27,0.085731,188.20,2026-02-09T18:16:56.343075
28,0.085434,976.93,2026-02-09T18:17:12.002000
29,0.085145,219.45,2026-02-09T18:17:26.701789
30,0.084585,1338.63,2026-02-09T18:17:41.323522
31,0.084429,131.34,2026-02-09T18:17:54.670060
32,0.084067,202.05,2026-02-09T18:18:07.292486
33,0.083754,127.13,2026-02-09T18:18:21.705653
34,0.083449,8.67,2026-02-09T18:18:35.366985
35,0.083157,275.89,2026-02-09T18:18:49.792672
36,0.082921,733.93,2026-02-09T18:19:05.595686
37,0.082586,169.70,2026-02-09T18:19:19.185181
38,0.082404,300.32,2026-02-09T18:19:34.109556
39,0.082232,674.72,2026-02-09T18:19:49.591565
40,0.082063,471.29,2026-02-09T18:20:04.542460
41,0.081810,106.98,2026-02-09T18:20:18.353882
42,0.081570,1322.09,2026-02-09T18:20:33.365583
43,0.081379,241.75,2026-02-09T18:20:47.811665
44,0.081205,235.91,2026-02-09T18:21:02.039006
45,0.080986,228.29,2026-02-09T18:21:16.321818
46,0.080823,217.05,2026-02-09T18:21:30.668518
47,0.080651,176.48,2026-02-09T18:21:43.800052
48,0.080393,195.22,2026-02-09T18:21:58.045719
49,0.080385,1232.57,2026-02-09T18:22:14.108032
50,0.080229,168.86,2026-02-09T18:22:28.497567
51,0.080117,222.37,2026-02-09T18:22:43.643836
52,0.079855,1501.71,2026-02-09T18:22:59.690648
53,0.079643,212.66,2026-02-09T18:23:12.836120
54,0.079603,153.26,2026-02-09T18:23:27.402367
55,0.079500,291.83,2026-02-09T18:23:41.252079
56,0.079410,188.59,2026-02-09T18:23:55.986686
57,0.079235,59.20,2026-02-09T18:24:10.459211
58,0.079054,2504.80,2026-02-09T18:24:29.482096
59,0.078920,90.89,2026-02-09T18:24:43.784867
60,0.078828,294.58,2026-02-09T18:24:57.901379
61,0.078748,169.26,2026-02-09T18:25:12.728025
62,0.078635,167.17,2026-02-09T18:25:27.666976
63,0.078591,222.69,2026-02-09T18:25:41.882996
64,0.078402,107.36,2026-02-09T18:25:56.090336
65,0.078391,1401.27,2026-02-09T18:26:12.616365
66,0.078280,158.26,2026-02-09T18:26:27.277690
67,0.078096,89.25,2026-02-09T18:26:41.603941
68,0.078004,112.87,2026-02-09T18:26:55.873995
69,0.077919,199.84,2026-02-09T18:27:09.388383
70,0.077865,143.29,2026-02-09T18:27:24.218309
71,0.077656,69.47,2026-02-09T18:27:38.179118
72,0.077619,475.57,2026-02-09T18:27:53.386947
73,0.077601,774.43,2026-02-09T18:28:08.385932
74,0.077410,227.71,2026-02-09T18:28:22.852779
75,0.077334,96.71,2026-02-09T18:28:36.296024
76,0.077387,212.11,2026-02-09T18:28:50.270064
77,0.077269,621.91,2026-02-09T18:29:05.323282
78,0.077082,231.70,2026-02-09T18:29:19.034008
79,0.077035,208.16,2026-02-09T18:29:32.862821
80,0.077018,1275.99,2026-02-09T18:29:49.101700
81,0.076941,1178.92,2026-02-09T18:30:04.450951
82,0.076835,1468.45,2026-02-09T18:30:21.423447
83,0.076855,156.86,2026-02-09T18:30:34.609731
84,0.076783,212.27,2026-02-09T18:30:49.437232
85,0.076679,1300.14,2026-02-09T18:31:05.373427
86,0.076560,140.23,2026-02-09T18:31:19.649095
87,0.076532,1873.29,2026-02-09T18:31:36.739065
88,0.076471,143.71,2026-02-09T18:31:50.858045
89,0.076392,384.28,2026-02-09T18:32:06.070077
90,0.076316,1472.85,2026-02-09T18:32:21.591120
91,0.076256,192.75,2026-02-09T18:32:36.312493
92,0.076204,211.03,2026-02-09T18:32:50.935470
93,0.076204,58.37,2026-02-09T18:33:05.288978
94,0.076068,172.95,2026-02-09T18:33:19.666393
95,0.076020,885.89,2026-02-09T18:33:34.064245
96,0.075922,2033.74,2026-02-09T18:33:51.974012
97,0.075909,193.61,2026-02-09T18:34:06.434790
98,0.075940,162.24,2026-02-09T18:34:20.820261
99,0.075866,164.15,2026-02-09T18:34:35.079819
100,0.075781,183.71,2026-02-09T18:34:49.770458
101,0.075669,8.97,2026-02-09T18:35:03.471181
102,0.075704,358.39,2026-02-09T18:35:18.166525
103,0.075529,281.50,2026-02-09T18:35:32.923496
104,0.075616,265.04,2026-02-09T18:35:47.715418
105,0.075572,250.06,2026-02-09T18:36:01.572263
106,0.075404,1393.33,2026-02-09T18:36:18.271305
107,0.075365,1429.19,2026-02-09T18:36:33.817363
108,0.075397,200.37,2026-02-09T18:36:48.346589
109,0.075385,67.12,2026-02-09T18:37:02.500961
110,0.075326,1305.61,2026-02-09T18:37:19.041220
111,0.075232,1295.27,2026-02-09T18:37:35.354372
112,0.075140,395.55,2026-02-09T18:37:49.948618
113,0.075148,159.57,2026-02-09T18:38:04.677541
114,0.075126,184.63,2026-02-09T18:38:19.529680
115,0.075086,186.58,2026-02-09T18:38:33.960710
116,0.075049,1610.71,2026-02-09T18:38:50.667118
117,0.074928,156.74,2026-02-09T18:39:05.359580
118,0.074934,241.06,2026-02-09T18:39:20.250119
119,0.074906,144.58,2026-02-09T18:39:34.716174
120,0.074856,83.25,2026-02-09T18:39:48.708897
121,0.074797,210.21,2026-02-09T18:40:03.409358
122,0.074750,209.93,2026-02-09T18:40:16.469420
123,0.074798,100.53,2026-02-09T18:40:30.783686
124,0.074681,262.63,2026-02-09T18:40:45.539646
125,0.074639,2264.89,2026-02-09T18:41:04.399058
126,0.074575,1291.87,2026-02-09T18:41:21.372395
127,0.074542,177.97,2026-02-09T18:41:35.443882
128,0.074642,765.00,2026-02-09T18:41:50.962762
129,0.074505,210.65,2026-02-09T18:42:05.747974
130,0.074509,166.34,2026-02-09T18:42:20.515860
131,0.074433,0.93,2026-02-09T18:42:34.307626
132,0.074399,1585.37,2026-02-09T18:42:50.891012
133,0.074332,784.75,2026-02-09T18:43:05.318273
134,0.074419,235.88,2026-02-09T18:43:20.117453
135,0.074287,1573.98,2026-02-09T18:43:36.936081
136,0.074310,1395.43,2026-02-09T18:43:53.727105
137,0.074312,165.90,2026-02-09T18:44:08.276647
138,0.074166,172.18,2026-02-09T18:44:22.508603
139,0.074215,142.69,2026-02-09T18:44:36.767385
140,0.074183,102.75,2026-02-09T18:44:50.688859
141,0.074046,282.68,2026-02-09T18:45:04.632791
142,0.074094,1317.50,2026-02-09T18:45:20.062350
143,0.074054,83.70,2026-02-09T18:45:33.866190
144,0.074063,126.11,2026-02-09T18:45:47.928688
145,0.074049,202.68,2026-02-09T18:46:02.506947
146,0.073959,445.07,2026-02-09T18:46:17.743320
147,0.073929,156.07,2026-02-09T18:46:32.244554
148,0.073992,146.11,2026-02-09T18:46:46.925292
149,0.073869,353.29,2026-02-09T18:46:59.929711
150,0.073830,103.62,2026-02-09T18:47:13.972045
151,0.073770,171.46,2026-02-09T18:47:28.388690
152,0.073857,16.53,2026-02-09T18:47:42.332700
153,0.073747,163.31,2026-02-09T18:47:56.965293
154,0.073755,199.16,2026-02-09T18:48:11.474992
155,0.073708,256.42,2026-02-09T18:48:25.913608
156,0.073691,1481.30,2026-02-09T18:48:41.910650
157,0.073727,154.14,2026-02-09T18:48:56.371856
158,0.073560,1360.28,2026-02-09T18:49:12.683620
159,0.073600,1141.97,2026-02-09T18:49:29.221518
160,0.073626,120.61,2026-02-09T18:49:43.559527
161,0.073561,1626.20,2026-02-09T18:50:00.250699
162,0.073523,210.02,2026-02-09T18:50:14.836800
163,0.073626,187.72,2026-02-09T18:50:29.387759
164,0.073472,1194.43,2026-02-09T18:50:45.506536
165,0.073417,181.25,2026-02-09T18:50:59.981792
166,0.073454,232.12,2026-02-09T18:51:14.642467
167,0.073393,129.20,2026-02-09T18:51:28.821708
168,0.073459,102.27,2026-02-09T18:51:42.737082
169,0.073281,746.95,2026-02-09T18:51:58.233254
170,0.073437,1321.59,2026-02-09T18:52:14.295937
171,0.073303,1114.02,2026-02-09T18:52:30.462164
172,0.073276,174.75,2026-02-09T18:52:45.151944
173,0.073292,362.66,2026-02-09T18:52:59.787638
174,0.073246,1520.91,2026-02-09T18:53:16.230135
175,0.073275,190.08,2026-02-09T18:53:30.061465
176,0.073180,233.57,2026-02-09T18:53:44.268737
177,0.073193,221.37,2026-02-09T18:53:58.874587
178,0.073180,194.27,2026-02-09T18:54:13.054692
179,0.073086,170.07,2026-02-09T18:54:27.635360
180,0.073214,155.02,2026-02-09T18:54:42.222326
181,0.073011,1820.47,2026-02-09T18:54:59.773226
182,0.073111,171.64,2026-02-09T18:55:14.089521
183,0.073056,1296.46,2026-02-09T18:55:29.873652
184,0.073033,1310.18,2026-02-09T18:55:46.607443
185,0.073048,148.95,2026-02-09T18:56:00.956063
186,0.072962,1322.14,2026-02-09T18:56:17.546994
187,0.072957,305.89,2026-02-09T18:56:32.108143
188,0.072944,100.44,2026-02-09T18:56:46.271697
189,0.072962,1289.83,2026-02-09T18:57:02.067787
190,0.072940,266.77,2026-02-09T18:57:16.581813
191,0.072895,180.92,2026-02-09T18:57:30.069939
192,0.072962,262.21,2026-02-09T18:57:44.470842
193,0.072768,52.30,2026-02-09T18:57:58.543570
194,0.072817,1556.46,2026-02-09T18:58:13.836753
195,0.072864,1437.50,2026-02-09T18:58:30.629539
196,0.072839,119.77,2026-02-09T18:58:44.950259
197,0.072771,350.18,2026-02-09T18:58:59.567631
198,0.072777,365.49,2026-02-09T18:59:14.539093
199,0.072827,79.41,2026-02-09T18:59:28.894986
200,0.072731,109.45,2026-02-09T18:59:43.144666
201,0.072689,336.97,2026-02-09T18:59:56.946935
202,0.072759,284.56,2026-02-09T19:00:11.730507
203,0.072683,157.79,2026-02-09T19:00:25.964957
204,0.072679,61.07,2026-02-09T19:00:40.105705
205,0.072669,548.72,2026-02-09T19:00:53.620233
206,0.072610,454.82,2026-02-09T19:01:08.326864
207,0.072631,260.79,2026-02-09T19:01:21.728011
208,0.072515,46.27,2026-02-09T19:01:35.775513
209,0.072660,198.43,2026-02-09T19:01:49.953534
210,0.072526,70.85,2026-02-09T19:02:03.584565
211,0.072456,1376.32,2026-02-09T19:02:20.235837
212,0.072555,82.07,2026-02-09T19:02:34.321960
213,0.072488,144.11,2026-02-09T19:02:49.064074
214,0.072503,242.48,2026-02-09T19:03:02.988306
215,0.072488,131.27,2026-02-09T19:03:16.969282
216,0.072373,591.30,2026-02-09T19:03:31.486724
217,0.072382,227.38,2026-02-09T19:03:46.122473
218,0.072428,153.42,2026-02-09T19:03:59.983547
219,0.072481,1332.07,2026-02-09T19:04:16.705874
220,0.072474,148.93,2026-02-09T19:04:30.818070
221,0.072387,190.81,2026-02-09T19:04:44.941307
222,0.072359,184.50,2026-02-09T19:04:58.291200
223,0.072299,200.27,2026-02-09T19:05:11.253123
224,0.072293,3849.70,2026-02-09T19:05:31.222208
225,0.072313,195.74,2026-02-09T19:05:45.441973
226,0.072286,216.69,2026-02-09T19:05:59.281302
227,0.072238,121.76,2026-02-09T19:06:13.363503
228,0.072249,1360.63,2026-02-09T19:06:29.599526
229,0.072261,119.73,2026-02-09T19:06:43.747815
230,0.072287,201.05,2026-02-09T19:06:57.361202
231,0.072186,347.14,2026-02-09T19:07:10.931657
232,0.072203,216.68,2026-02-09T19:07:25.191959
233,0.072210,107.42,2026-02-09T19:07:39.351200
234,0.072171,195.08,2026-02-09T19:07:54.125236
235,0.072073,15.24,2026-02-09T19:08:07.617290
236,0.072181,884.76,2026-02-09T19:08:23.452542
237,0.072183,1309.85,2026-02-09T19:08:40.139531
238,0.072039,426.33,2026-02-09T19:08:55.548299
239,0.072115,1010.77,2026-02-09T19:09:11.624817
240,0.072134,13.33,2026-02-09T19:09:25.112718
241,0.072006,2620.53,2026-02-09T19:09:42.434086
242,0.072092,202.16,2026-02-09T19:09:56.284597
243,0.072058,132.68,2026-02-09T19:10:10.707468
244,0.072031,352.00,2026-02-09T19:10:25.364931
245,0.071990,251.35,2026-02-09T19:10:39.921069
246,0.072038,216.45,2026-02-09T19:10:54.214158
247,0.071985,228.11,2026-02-09T19:11:08.654339
248,0.071978,2692.21,2026-02-09T19:11:27.144446
249,0.071933,3042.42,2026-02-09T19:11:46.258017
250,0.072063,243.62,2026-02-09T19:12:00.779070
251,0.071873,828.79,2026-02-09T19:12:16.613257
252,0.071903,220.56,2026-02-09T19:12:31.166417
253,0.071962,207.64,2026-02-09T19:12:44.538122
254,0.071886,60.02,2026-02-09T19:12:57.587000
255,0.071874,1278.34,2026-02-09T19:13:14.233649
256,0.071889,162.97,2026-02-09T19:13:28.967827
257,0.071850,75.32,2026-02-09T19:13:42.223773
258,0.071781,170.39,2026-02-09T19:13:56.973632
259,0.071847,746.53,2026-02-09T19:14:11.187655
260,0.071838,244.19,2026-02-09T19:14:25.468491
261,0.071790,46.72,2026-02-09T19:14:39.669029
262,0.071792,94.33,2026-02-09T19:14:53.786690
263,0.071773,119.23,2026-02-09T19:15:08.006126
264,0.071826,466.97,2026-02-09T19:15:21.894689
265,0.071776,154.04,2026-02-09T19:15:36.118229
266,0.071697,744.36,2026-02-09T19:15:51.303093
267,0.071732,114.58,2026-02-09T19:16:05.451889
268,0.071725,1268.85,2026-02-09T19:16:21.733500
269,0.071822,302.03,2026-02-09T19:16:36.566729
270,0.071681,5.65,2026-02-09T19:16:49.546312
271,0.071702,2171.32,2026-02-09T19:17:06.652682
272,0.071684,410.02,2026-02-09T19:17:21.653884
273,0.071608,136.35,2026-02-09T19:17:36.042733
274,0.071723,156.45,2026-02-09T19:17:50.625669
275,0.071612,1224.64,2026-02-09T19:18:06.917350
276,0.071623,158.25,2026-02-09T19:18:21.502648
277,0.071639,1413.81,2026-02-09T19:18:38.187264
278,0.071660,184.63,2026-02-09T19:18:52.186940
279,0.071699,861.47,2026-02-09T19:19:08.158607
280,0.071558,1441.20,2026-02-09T19:19:24.752982
281,0.071567,99.51,2026-02-09T19:19:39.041442
282,0.071605,1947.75,2026-02-09T19:19:56.171635
283,0.071472,913.86,2026-02-09T19:20:11.845900
284,0.071555,2830.54,2026-02-09T19:20:29.524803
285,0.071576,146.24,2026-02-09T19:20:42.967005
286,0.071541,160.83,2026-02-09T19:20:57.094371
287,0.071471,244.74,2026-02-09T19:21:11.474069
288,0.071553,58.57,2026-02-09T19:21:24.924283
289,0.071459,190.50,2026-02-09T19:21:39.188856
290,0.071511,53.29,2026-02-09T19:21:52.642197
291,0.071479,106.74,2026-02-09T19:22:07.369440
292,0.071524,791.10,2026-02-09T19:22:23.139233
293,0.071410,120.52,2026-02-09T19:22:37.187035
294,0.071379,1370.67,2026-02-09T19:22:53.690225
295,0.071472,160.23,2026-02-09T19:23:07.974875
296,0.071428,1331.96,2026-02-09T19:23:24.848068
297,0.071460,643.98,2026-02-09T19:23:38.549259
298,0.071382,190.54,2026-02-09T19:23:53.346791
299,0.071387,1492.22,2026-02-09T19:24:09.792067
300,0.071444,148.26,2026-02-09T19:24:23.078145
301,0.071400,18.42,2026-02-09T19:24:37.088978
302,0.071263,141.13,2026-02-09T19:24:51.367067
303,0.071360,352.91,2026-02-09T19:25:05.935542
304,0.071344,261.41,2026-02-09T19:25:20.323791
305,0.071329,117.88,2026-02-09T19:25:34.528613
306,0.071374,1258.91,2026-02-09T19:25:51.927392
307,0.071379,103.36,2026-02-09T19:26:06.119211
308,0.071230,116.73,2026-02-09T19:26:20.843314
309,0.071240,220.51,2026-02-09T19:26:34.376106
310,0.071349,2483.19,2026-02-09T19:26:52.893910
311,0.071281,1376.60,2026-02-09T19:27:09.448896
312,0.071227,215.33,2026-02-09T19:27:23.824993
313,0.071243,182.92,2026-02-09T19:27:37.595097
314,0.071191,1468.83,2026-02-09T19:27:53.800881
315,0.071319,138.30,2026-02-09T19:28:07.996021
316,0.071241,543.48,2026-02-09T19:28:23.537427
317,0.071222,123.05,2026-02-09T19:28:37.933660
