metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-02-10T00:17:55.701907
exp_name,bc-walker2d-medexp-quarter-run1,2026-02-10T00:17:55.701914
seed,42,2026-02-10T00:17:55.701917
n_epochs,1000,2026-02-10T00:17:55.701919
data_ratio,0.25,2026-02-10T00:17:55.701921
n_transitions,500000,2026-02-10T00:17:55.701925
final_loss,0.068080,2026-02-10T00:17:55.701929
avg_reward,251.80,2026-02-10T00:17:55.701932
std_reward,465.57,2026-02-10T00:17:55.701935
n_episodes,10,2026-02-10T00:17:55.701937
