epoch,loss,reward,timestamp
1,0.178332,161.53,2026-02-06T01:58:14.214119
2,0.128446,414.31,2026-02-06T01:59:01.199949
3,0.114407,46.17,2026-02-06T01:59:44.217876
4,0.106773,113.99,2026-02-06T02:00:29.344846
5,0.101710,259.86,2026-02-06T02:01:15.111206
6,0.098167,1715.94,2026-02-06T02:02:02.082446
7,0.095361,266.97,2026-02-06T02:02:35.581704
8,0.093297,420.58,2026-02-06T02:03:16.362335
9,0.091559,197.69,2026-02-06T02:03:59.434612
10,0.090149,1916.72,2026-02-06T02:04:50.943741
11,0.088843,16.80,2026-02-06T02:05:27.438745
12,0.087765,1758.11,2026-02-06T02:06:19.447326
13,0.086852,338.72,2026-02-06T02:06:58.302314
14,0.086005,104.45,2026-02-06T02:07:39.973761
15,0.085292,1557.53,2026-02-06T02:08:32.225550
16,0.084680,91.82,2026-02-06T02:09:12.185243
17,0.084046,145.85,2026-02-06T02:09:50.970615
18,0.083492,66.07,2026-02-06T02:10:34.479119
19,0.083063,105.40,2026-02-06T02:11:06.581996
20,0.082655,222.18,2026-02-06T02:11:50.434194
21,0.082183,144.58,2026-02-06T02:12:32.661697
22,0.081854,308.74,2026-02-06T02:13:16.444215
23,0.081506,229.83,2026-02-06T02:13:53.125418
24,0.081244,276.15,2026-02-06T02:14:37.058530
25,0.080841,962.48,2026-02-06T02:15:25.955055
26,0.080658,187.52,2026-02-06T02:16:05.281328
27,0.080361,219.83,2026-02-06T02:16:48.211573
28,0.080089,2623.19,2026-02-06T02:17:43.639275
29,0.079888,308.50,2026-02-06T02:18:26.878143
30,0.079610,155.71,2026-02-06T02:19:08.964339
31,0.079482,3001.59,2026-02-06T02:20:09.373242
32,0.079250,353.93,2026-02-06T02:20:51.393185
33,0.079021,223.50,2026-02-06T02:21:34.621624
34,0.078912,1158.07,2026-02-06T02:22:22.728362
35,0.078709,181.12,2026-02-06T02:23:04.417642
36,0.078474,433.96,2026-02-06T02:23:48.348120
37,0.078377,17.41,2026-02-06T02:24:28.187807
38,0.078200,1262.11,2026-02-06T02:25:16.472605
39,0.078062,496.08,2026-02-06T02:26:02.273154
40,0.077961,1387.96,2026-02-06T02:26:51.339610
41,0.077815,222.26,2026-02-06T02:27:34.094379
42,0.077631,189.50,2026-02-06T02:28:17.511422
43,0.077549,1145.22,2026-02-06T02:29:04.291076
44,0.077389,239.42,2026-02-06T02:29:38.299906
45,0.077318,153.16,2026-02-06T02:30:12.325590
46,0.077166,110.64,2026-02-06T02:30:45.501085
47,0.077003,282.33,2026-02-06T02:31:40.658385
48,0.076947,148.84,2026-02-06T02:32:17.930619
49,0.076866,101.95,2026-02-06T02:33:00.457977
50,0.076731,63.27,2026-02-06T02:33:43.649317
51,0.076727,1602.80,2026-02-06T02:34:34.207647
52,0.076506,1615.43,2026-02-06T02:35:24.815447
53,0.076448,1673.03,2026-02-06T02:36:14.826729
54,0.076383,1196.50,2026-02-06T02:37:04.756035
55,0.076280,824.95,2026-02-06T02:37:48.117716
56,0.076187,153.19,2026-02-06T02:38:31.806699
57,0.076123,302.02,2026-02-06T02:39:13.636111
58,0.076029,360.85,2026-02-06T02:39:58.487377
59,0.075945,1259.61,2026-02-06T02:40:49.444767
60,0.075939,243.99,2026-02-06T02:41:19.055825
61,0.075816,57.38,2026-02-06T02:41:58.274857
62,0.075703,219.90,2026-02-06T02:42:40.645293
63,0.075671,256.92,2026-02-06T02:43:25.934866
64,0.075541,1870.41,2026-02-06T02:44:17.755268
65,0.075495,1928.88,2026-02-06T02:45:14.060985
66,0.075437,365.34,2026-02-06T02:45:59.693716
