metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-04-14T03:09:35.861195
exp_name,bc-walker2d-medexp-seed333,2026-04-14T03:09:35.861207
seed,333,2026-04-14T03:09:35.861209
n_epochs,1000,2026-04-14T03:09:35.861212
data_ratio,1.0,2026-04-14T03:09:35.861214
n_transitions,2000000,2026-04-14T03:09:35.861219
final_loss,0.069294,2026-04-14T03:09:35.861225
avg_reward,540.07,2026-04-14T03:09:35.861229
std_reward,1029.27,2026-04-14T03:09:35.861232
n_episodes,10,2026-04-14T03:09:35.861234
