epoch,loss,reward,timestamp
1,0.180361,220.00,2026-04-13T17:44:27.382276
2,0.129893,216.71,2026-04-13T17:44:58.872122
3,0.115848,283.14,2026-04-13T17:45:28.216385
4,0.107970,593.29,2026-04-13T17:46:02.953518
5,0.102884,208.21,2026-04-13T17:46:36.988257
6,0.099288,322.60,2026-04-13T17:47:09.817637
7,0.096428,109.83,2026-04-13T17:47:42.316647
8,0.094297,144.40,2026-04-13T17:48:15.014540
9,0.092454,936.13,2026-04-13T17:48:53.117047
10,0.090919,248.64,2026-04-13T17:49:26.397400
11,0.089706,210.12,2026-04-13T17:49:54.998389
12,0.088548,2945.88,2026-04-13T17:50:39.464558
13,0.087707,140.45,2026-04-13T17:51:12.960427
14,0.086822,80.93,2026-04-13T17:51:44.256033
15,0.086031,190.82,2026-04-13T17:52:13.441226
16,0.085317,753.08,2026-04-13T17:52:46.002484
17,0.084775,582.14,2026-04-13T17:53:19.875608
18,0.084153,1461.83,2026-04-13T17:54:04.381686
19,0.083744,107.46,2026-04-13T17:54:37.389321
20,0.083220,233.00,2026-04-13T17:55:07.312329
21,0.082758,375.27,2026-04-13T17:55:36.413917
22,0.082402,1443.88,2026-04-13T17:56:20.340804
23,0.081983,1305.73,2026-04-13T17:56:58.653481
24,0.081660,214.36,2026-04-13T17:57:32.151208
25,0.081334,202.62,2026-04-13T17:58:05.931410
26,0.081006,233.44,2026-04-13T17:58:38.944266
27,0.080719,154.71,2026-04-13T17:59:12.183931
28,0.080446,1567.80,2026-04-13T17:59:47.607674
29,0.080205,159.06,2026-04-13T18:00:19.933708
30,0.079930,698.86,2026-04-13T18:00:56.616546
31,0.079826,186.14,2026-04-13T18:01:30.072822
32,0.079558,158.45,2026-04-13T18:02:03.418514
33,0.079330,310.61,2026-04-13T18:02:35.630601
34,0.079109,266.93,2026-04-13T18:03:07.926520
35,0.078942,184.11,2026-04-13T18:03:43.263041
36,0.078783,11.80,2026-04-13T18:04:15.668395
37,0.078540,361.15,2026-04-13T18:04:51.963122
38,0.078455,1626.97,2026-04-13T18:05:34.228746
39,0.078302,300.34,2026-04-13T18:06:06.681308
40,0.078051,1292.53,2026-04-13T18:06:48.322378
41,0.078027,604.83,2026-04-13T18:07:22.997622
42,0.077823,168.47,2026-04-13T18:07:53.607641
43,0.077747,189.72,2026-04-13T18:08:25.922475
44,0.077665,1774.68,2026-04-13T18:09:08.952843
45,0.077480,101.31,2026-04-13T18:09:42.092800
46,0.077355,182.75,2026-04-13T18:10:14.397257
47,0.077187,95.28,2026-04-13T18:10:46.537228
48,0.077122,1350.17,2026-04-13T18:11:26.872490
49,0.077029,211.38,2026-04-13T18:11:59.798755
50,0.076954,122.81,2026-04-13T18:12:33.334043
51,0.076800,136.72,2026-04-13T18:13:06.027356
52,0.076717,145.87,2026-04-13T18:13:38.393324
53,0.076584,665.63,2026-04-13T18:14:15.096956
54,0.076559,168.76,2026-04-13T18:14:47.876520
55,0.076407,372.39,2026-04-13T18:15:19.307461
56,0.076334,1565.80,2026-04-13T18:16:00.389641
57,0.076303,769.35,2026-04-13T18:16:39.186941
58,0.076157,121.25,2026-04-13T18:17:12.505763
59,0.076108,317.78,2026-04-13T18:17:48.187484
60,0.076022,161.78,2026-04-13T18:18:21.095014
61,0.075908,92.45,2026-04-13T18:18:51.304371
62,0.075855,49.99,2026-04-13T18:19:23.383536
63,0.075852,180.09,2026-04-13T18:19:55.888178
64,0.075717,106.90,2026-04-13T18:20:23.996652
65,0.075608,61.50,2026-04-13T18:20:52.408680
66,0.075565,147.47,2026-04-13T18:21:26.624244
67,0.075521,1575.65,2026-04-13T18:22:07.287041
68,0.075433,896.14,2026-04-13T18:22:43.728774
69,0.075389,2881.01,2026-04-13T18:23:32.395751
70,0.075307,250.34,2026-04-13T18:24:05.930763
71,0.075238,62.84,2026-04-13T18:24:33.203715
72,0.075204,240.93,2026-04-13T18:25:08.344895
73,0.075168,136.71,2026-04-13T18:25:42.414546
74,0.075072,2397.89,2026-04-13T18:26:37.842459
75,0.075050,149.78,2026-04-13T18:27:11.769931
76,0.074931,183.28,2026-04-13T18:27:47.040482
77,0.074921,136.34,2026-04-13T18:28:21.263655
78,0.074888,1714.78,2026-04-13T18:29:08.594958
79,0.074739,192.95,2026-04-13T18:29:41.645695
80,0.074759,108.37,2026-04-13T18:30:10.267549
81,0.074716,1241.24,2026-04-13T18:30:51.380471
82,0.074608,1227.74,2026-04-13T18:31:32.801874
83,0.074618,129.49,2026-04-13T18:32:04.766207
84,0.074607,1348.80,2026-04-13T18:32:45.941683
85,0.074499,1371.88,2026-04-13T18:33:25.565175
86,0.074433,166.36,2026-04-13T18:33:57.884704
87,0.074404,151.69,2026-04-13T18:34:30.087562
88,0.074427,247.64,2026-04-13T18:35:03.346985
89,0.074371,102.57,2026-04-13T18:35:35.518528
90,0.074334,137.59,2026-04-13T18:36:04.632820
91,0.074240,112.53,2026-04-13T18:36:35.429176
92,0.074209,63.67,2026-04-13T18:37:04.184781
93,0.074195,211.97,2026-04-13T18:37:36.869873
94,0.074149,50.32,2026-04-13T18:38:07.098783
95,0.074082,783.43,2026-04-13T18:38:43.636823
96,0.074102,-0.24,2026-04-13T18:39:14.287891
97,0.074025,198.70,2026-04-13T18:39:48.571293
98,0.073950,1096.34,2026-04-13T18:40:29.877683
99,0.073952,1415.60,2026-04-13T18:41:11.658181
100,0.073943,126.58,2026-04-13T18:41:44.880552
101,0.073918,21.48,2026-04-13T18:42:16.728109
102,0.073844,1449.61,2026-04-13T18:42:59.459015
103,0.073851,2241.40,2026-04-13T18:43:49.597037
104,0.073733,15.05,2026-04-13T18:44:19.963784
105,0.073721,9.89,2026-04-13T18:44:50.672125
106,0.073744,104.93,2026-04-13T18:45:23.176137
107,0.073683,67.00,2026-04-13T18:45:55.247481
108,0.073615,1506.17,2026-04-13T18:46:37.005782
109,0.073586,191.58,2026-04-13T18:47:08.800717
110,0.073570,1183.22,2026-04-13T18:47:48.641084
111,0.073525,53.41,2026-04-13T18:48:20.283632
112,0.073532,238.75,2026-04-13T18:48:52.952264
113,0.073501,565.19,2026-04-13T18:49:25.332928
114,0.073503,198.44,2026-04-13T18:49:54.007218
115,0.073447,291.08,2026-04-13T18:50:27.523717
116,0.073420,1336.05,2026-04-13T18:51:12.247588
117,0.073402,1139.00,2026-04-13T18:51:54.346730
118,0.073355,173.27,2026-04-13T18:52:23.039876
119,0.073295,847.86,2026-04-13T18:52:58.678903
120,0.073273,173.71,2026-04-13T18:53:27.150714
121,0.073232,1694.00,2026-04-13T18:54:08.604421
122,0.073257,274.47,2026-04-13T18:54:41.184586
123,0.073246,170.78,2026-04-13T18:55:09.055128
124,0.073174,1.94,2026-04-13T18:55:39.393240
125,0.073129,128.46,2026-04-13T18:56:08.254786
126,0.073179,2903.51,2026-04-13T18:56:57.068987
127,0.073137,104.91,2026-04-13T18:57:29.260624
128,0.073105,222.09,2026-04-13T18:58:01.931610
129,0.073113,143.77,2026-04-13T18:58:33.086519
130,0.073011,254.41,2026-04-13T18:59:02.087312
131,0.073024,510.20,2026-04-13T18:59:37.196911
132,0.072995,1281.07,2026-04-13T19:00:46.251475
133,0.072950,140.41,2026-04-13T19:01:23.093980
134,0.072938,116.21,2026-04-13T19:01:59.747694
135,0.072993,104.87,2026-04-13T19:02:35.555080
136,0.072915,167.67,2026-04-13T19:03:10.424935
137,0.072891,104.56,2026-04-13T19:03:40.174950
138,0.072885,232.27,2026-04-13T19:04:08.461923
139,0.072871,735.70,2026-04-13T19:04:44.218022
140,0.072815,2406.95,2026-04-13T19:05:25.891346
141,0.072781,877.45,2026-04-13T19:06:02.461536
142,0.072816,1242.29,2026-04-13T19:06:33.025190
143,0.072760,544.53,2026-04-13T19:07:07.812215
144,0.072766,1365.69,2026-04-13T19:07:43.258534
145,0.072748,1120.64,2026-04-13T19:08:21.130159
146,0.072726,46.05,2026-04-13T19:08:51.798005
147,0.072745,95.47,2026-04-13T19:09:22.962212
148,0.072671,126.84,2026-04-13T19:09:55.649925
149,0.072660,165.07,2026-04-13T19:10:23.824073
150,0.072662,262.12,2026-04-13T19:10:56.674849
151,0.072606,183.16,2026-04-13T19:11:28.074309
152,0.072588,754.96,2026-04-13T19:12:04.705357
153,0.072575,1522.37,2026-04-13T19:12:37.793912
154,0.072589,3197.93,2026-04-13T19:13:28.954666
155,0.072518,138.41,2026-04-13T19:14:01.483589
156,0.072541,784.08,2026-04-13T19:14:37.051799
157,0.072551,212.08,2026-04-13T19:15:10.441876
158,0.072505,216.92,2026-04-13T19:15:42.625599
159,0.072455,622.63,2026-04-13T19:16:12.226177
160,0.072483,363.25,2026-04-13T19:16:42.167104
161,0.072401,188.52,2026-04-13T19:17:14.434620
162,0.072467,88.62,2026-04-13T19:17:45.932081
163,0.072367,20.25,2026-04-13T19:18:17.120953
164,0.072368,67.03,2026-04-13T19:18:49.727175
165,0.072412,89.86,2026-04-13T19:19:17.853646
166,0.072334,258.11,2026-04-13T19:19:50.818082
167,0.072303,81.96,2026-04-13T19:20:21.377943
168,0.072376,183.89,2026-04-13T19:20:53.079451
169,0.072297,193.22,2026-04-13T19:21:21.398443
170,0.072293,368.32,2026-04-13T19:21:55.385893
171,0.072260,1481.64,2026-04-13T19:22:36.839473
172,0.072266,163.46,2026-04-13T19:23:09.113822
173,0.072245,647.12,2026-04-13T19:23:44.670599
174,0.072215,68.27,2026-04-13T19:24:13.232362
175,0.072266,283.17,2026-04-13T19:24:48.467826
176,0.072226,841.94,2026-04-13T19:25:25.135391
177,0.072153,1276.62,2026-04-13T19:26:03.917160
178,0.072177,776.51,2026-04-13T19:26:42.294398
179,0.072192,213.17,2026-04-13T19:27:14.894091
180,0.072158,162.08,2026-04-13T19:27:46.629728
181,0.072127,186.93,2026-04-13T19:28:19.250037
182,0.072113,207.82,2026-04-13T19:28:48.683529
183,0.072114,140.97,2026-04-13T19:29:20.078335
184,0.072096,175.12,2026-04-13T19:29:49.356429
185,0.072084,346.98,2026-04-13T19:30:21.899277
186,0.072066,1588.92,2026-04-13T19:31:01.137133
187,0.072073,306.82,2026-04-13T19:31:34.440946
188,0.072037,23.51,2026-04-13T19:32:03.315205
189,0.072042,105.53,2026-04-13T19:32:34.570959
190,0.072047,151.86,2026-04-13T19:33:06.643180
191,0.071954,509.77,2026-04-13T19:33:41.634375
192,0.071970,888.38,2026-04-13T19:34:17.043252
193,0.072009,110.22,2026-04-13T19:34:49.443948
194,0.071935,67.02,2026-04-13T19:35:20.825383
195,0.071949,220.01,2026-04-13T19:35:53.482885
196,0.071949,391.79,2026-04-13T19:36:23.883838
197,0.071912,141.05,2026-04-13T19:36:56.387892
198,0.071943,190.37,2026-04-13T19:37:28.767077
199,0.071887,783.26,2026-04-13T19:38:05.902295
200,0.071931,290.98,2026-04-13T19:38:35.352680
201,0.071867,236.31,2026-04-13T19:39:08.709362
202,0.071899,248.64,2026-04-13T19:39:38.930228
203,0.071856,146.43,2026-04-13T19:40:12.201552
204,0.071829,1662.27,2026-04-13T19:40:51.344438
205,0.071845,436.33,2026-04-13T19:41:25.324871
206,0.071830,141.73,2026-04-13T19:41:54.312620
207,0.071792,202.90,2026-04-13T19:42:24.441084
208,0.071799,1272.51,2026-04-13T19:43:04.194469
209,0.071798,47.09,2026-04-13T19:43:35.554416
210,0.071784,328.02,2026-04-13T19:44:04.791502
211,0.071815,226.84,2026-04-13T19:44:37.380735
212,0.071774,184.83,2026-04-13T19:45:10.210129
213,0.071737,1406.73,2026-04-13T19:45:48.810734
