epoch,loss,reward,timestamp
1,0.164637,179.24,2026-04-13T13:08:56.824845
2,0.112319,2325.15,2026-04-13T13:09:17.293317
3,0.098177,504.95,2026-04-13T13:09:34.071331
4,0.090587,296.86,2026-04-13T13:09:50.456475
5,0.085408,1224.53,2026-04-13T13:10:08.257624
6,0.081890,224.67,2026-04-13T13:10:24.381545
7,0.079099,376.11,2026-04-13T13:10:40.604087
8,0.076782,214.25,2026-04-13T13:10:56.748862
9,0.075231,1380.91,2026-04-13T13:11:13.572701
10,0.073660,177.58,2026-04-13T13:11:29.447859
11,0.072401,232.56,2026-04-13T13:11:45.259904
12,0.071317,346.87,2026-04-13T13:12:00.105697
13,0.070316,394.13,2026-04-13T13:12:16.514638
14,0.069590,270.49,2026-04-13T13:12:31.511228
15,0.068766,296.16,2026-04-13T13:12:47.682678
16,0.068183,252.78,2026-04-13T13:13:03.421149
17,0.067571,1346.45,2026-04-13T13:13:21.588602
18,0.066924,162.78,2026-04-13T13:13:37.806098
19,0.066354,228.23,2026-04-13T13:13:52.659995
20,0.065964,265.23,2026-04-13T13:14:08.376664
21,0.065466,500.40,2026-04-13T13:14:24.534039
22,0.065225,237.80,2026-04-13T13:14:39.303724
23,0.064733,151.01,2026-04-13T13:14:54.754033
24,0.064397,176.19,2026-04-13T13:15:10.350228
25,0.064123,503.33,2026-04-13T13:15:26.819089
26,0.063704,106.80,2026-04-13T13:15:42.927965
27,0.063598,189.64,2026-04-13T13:15:58.845714
28,0.063257,823.87,2026-04-13T13:16:15.133476
29,0.062969,390.45,2026-04-13T13:16:31.362320
30,0.062767,1226.77,2026-04-13T13:16:49.390115
31,0.062525,131.45,2026-04-13T13:17:05.574783
32,0.062301,197.19,2026-04-13T13:17:21.992924
33,0.062197,221.45,2026-04-13T13:17:37.812214
34,0.061927,1911.09,2026-04-13T13:17:56.902075
35,0.061706,230.20,2026-04-13T13:18:13.080662
36,0.061550,242.73,2026-04-13T13:18:29.440380
37,0.061395,170.49,2026-04-13T13:18:44.484877
