epoch,loss,reward,timestamp
1,0.313206,149.15,2026-02-06T15:13:14.845675
2,0.255593,314.77,2026-02-06T15:14:08.337117
3,0.240997,295.31,2026-02-06T15:14:09.897740
4,0.231581,334.36,2026-02-06T15:14:11.569525
5,0.224899,271.95,2026-02-06T15:14:13.181080
6,0.219288,272.86,2026-02-06T15:14:14.779857
7,0.214854,268.97,2026-02-06T15:15:08.225009
8,0.210642,322.25,2026-02-06T15:15:09.727705
9,0.207434,268.54,2026-02-06T15:15:11.237162
10,0.204745,278.93,2026-02-06T15:15:12.795141
11,0.201927,306.17,2026-02-06T15:15:14.355082
12,0.199820,277.89,2026-02-06T15:16:08.332708
13,0.198048,273.32,2026-02-06T15:16:09.927051
14,0.197046,274.16,2026-02-06T15:16:11.372250
15,0.195907,317.19,2026-02-06T15:16:12.541603
16,0.194264,338.92,2026-02-06T15:16:13.707070
17,0.193100,407.24,2026-02-06T15:16:15.210944
18,0.191928,292.85,2026-02-06T15:16:16.823495
19,0.190965,410.89,2026-02-06T15:17:08.963608
20,0.189360,515.72,2026-02-06T15:17:10.556450
21,0.189330,506.29,2026-02-06T15:17:12.280603
22,0.188581,539.28,2026-02-06T15:17:13.916961
23,0.187716,516.41,2026-02-06T15:17:15.564686
24,0.186881,382.83,2026-02-06T15:18:09.422509
25,0.186028,417.73,2026-02-06T15:18:10.875364
26,0.185508,502.41,2026-02-06T15:18:12.623640
27,0.185021,305.12,2026-02-06T15:18:14.228265
28,0.184634,535.11,2026-02-06T15:18:15.951282
29,0.183562,439.55,2026-02-06T15:19:09.579655
30,0.183192,483.30,2026-02-06T15:19:11.237293
31,0.182779,489.15,2026-02-06T15:19:12.968460
32,0.181982,412.50,2026-02-06T15:19:14.516124
33,0.181376,330.51,2026-02-06T15:20:08.191741
34,0.181372,483.46,2026-02-06T15:20:09.395659
35,0.180762,465.65,2026-02-06T15:20:10.587021
36,0.180321,433.30,2026-02-06T15:20:12.018107
37,0.179725,412.04,2026-02-06T15:20:13.605463
38,0.179319,475.08,2026-02-06T15:20:15.193058
39,0.179142,279.41,2026-02-06T15:20:16.657470
40,0.178735,273.04,2026-02-06T15:21:09.266507
41,0.178112,512.12,2026-02-06T15:21:10.916082
42,0.177672,296.49,2026-02-06T15:21:12.486583
43,0.177583,551.14,2026-02-06T15:21:14.301157
44,0.176990,369.53,2026-02-06T15:21:15.938541
45,0.176568,353.38,2026-02-06T15:22:09.625137
46,0.176392,266.39,2026-02-06T15:22:11.087411
47,0.176214,337.77,2026-02-06T15:22:12.898086
48,0.175558,222.03,2026-02-06T15:22:14.449644
49,0.175631,387.42,2026-02-06T15:23:08.227297
50,0.175375,327.70,2026-02-06T15:23:09.765896
51,0.174888,355.62,2026-02-06T15:23:11.273811
52,0.174566,329.50,2026-02-06T15:23:12.957075
53,0.174279,340.50,2026-02-06T15:23:14.131357
54,0.174036,257.93,2026-02-06T15:23:15.260220
55,0.173746,316.27,2026-02-06T15:23:16.430950
56,0.173244,288.59,2026-02-06T15:23:17.566904
57,0.173320,289.54,2026-02-06T15:24:09.125801
58,0.172986,321.20,2026-02-06T15:24:10.774104
59,0.172412,296.38,2026-02-06T15:24:12.311451
60,0.172521,278.11,2026-02-06T15:24:13.945354
61,0.171814,199.87,2026-02-06T15:24:15.455443
62,0.171802,407.27,2026-02-06T15:25:09.236312
63,0.171046,385.40,2026-02-06T15:25:10.845011
64,0.171716,283.49,2026-02-06T15:25:12.499798
65,0.171203,451.23,2026-02-06T15:25:14.319584
66,0.170527,265.13,2026-02-06T15:25:15.934754
