metric,value,timestamp
env_name,walker2d-medium-replay-v0,2026-04-14T03:46:30.640338
exp_name,bc-walker2d-medrep-seed666,2026-04-14T03:46:30.640344
seed,666,2026-04-14T03:46:30.640347
n_epochs,1000,2026-04-14T03:46:30.640349
data_ratio,1.0,2026-04-14T03:46:30.640351
n_transitions,100930,2026-04-14T03:46:30.640354
final_loss,0.131691,2026-04-14T03:46:30.640358
avg_reward,310.19,2026-04-14T03:46:30.640361
std_reward,106.59,2026-04-14T03:46:30.640364
n_episodes,10,2026-04-14T03:46:30.640366
