epoch,loss,reward,timestamp
1,0.317284,299.77,2026-04-14T03:19:29.456665
2,0.255708,299.86,2026-04-14T03:19:31.214036
3,0.240493,316.71,2026-04-14T03:19:33.047608
4,0.230834,341.37,2026-04-14T03:19:34.902826
5,0.224140,323.94,2026-04-14T03:19:36.522088
6,0.218602,376.12,2026-04-14T03:19:38.307461
7,0.214121,312.21,2026-04-14T03:19:40.048902
8,0.209928,293.19,2026-04-14T03:19:41.832454
9,0.207118,289.77,2026-04-14T03:19:43.544298
10,0.204813,318.01,2026-04-14T03:19:45.157133
11,0.201934,323.48,2026-04-14T03:19:46.888200
12,0.200049,278.40,2026-04-14T03:19:48.441132
13,0.198291,301.70,2026-04-14T03:19:50.036599
14,0.196948,417.98,2026-04-14T03:19:51.770651
15,0.195248,567.39,2026-04-14T03:19:53.582147
16,0.194500,514.62,2026-04-14T03:19:55.294225
17,0.193080,426.41,2026-04-14T03:19:56.927540
18,0.192066,492.69,2026-04-14T03:19:58.646776
19,0.190834,591.30,2026-04-14T03:20:00.388116
20,0.189866,501.32,2026-04-14T03:20:02.015787
21,0.188700,458.99,2026-04-14T03:20:03.727630
22,0.188123,529.05,2026-04-14T03:20:05.662374
23,0.187363,706.91,2026-04-14T03:20:07.658984
24,0.186361,501.86,2026-04-14T03:20:09.498434
25,0.185680,541.90,2026-04-14T03:20:11.242950
26,0.185211,431.22,2026-04-14T03:20:12.807838
27,0.184509,278.90,2026-04-14T03:20:14.514907
28,0.183748,465.12,2026-04-14T03:20:16.276780
29,0.183132,277.86,2026-04-14T03:20:17.952420
30,0.182430,303.30,2026-04-14T03:20:19.692609
31,0.182234,552.43,2026-04-14T03:20:21.426524
32,0.181942,319.54,2026-04-14T03:20:23.087695
33,0.180721,572.21,2026-04-14T03:20:24.864324
34,0.180768,831.59,2026-04-14T03:20:27.146778
35,0.180033,426.59,2026-04-14T03:20:28.994253
36,0.179806,587.09,2026-04-14T03:20:30.803525
37,0.178981,305.47,2026-04-14T03:20:32.431662
38,0.179286,456.51,2026-04-14T03:20:34.109116
39,0.178214,287.60,2026-04-14T03:20:35.723713
40,0.178410,289.39,2026-04-14T03:20:37.447328
41,0.177331,455.56,2026-04-14T03:20:39.161323
42,0.177216,309.28,2026-04-14T03:20:40.884643
43,0.176649,377.06,2026-04-14T03:20:42.610426
44,0.176438,280.18,2026-04-14T03:20:44.271300
45,0.176263,452.19,2026-04-14T03:20:46.002117
46,0.176202,566.39,2026-04-14T03:20:47.745547
47,0.175439,461.25,2026-04-14T03:20:49.511550
48,0.175198,357.72,2026-04-14T03:20:51.238009
49,0.175029,381.10,2026-04-14T03:20:52.990825
50,0.174604,460.06,2026-04-14T03:20:54.704474
51,0.174259,368.08,2026-04-14T03:20:56.478262
52,0.173928,302.64,2026-04-14T03:20:58.201741
53,0.173441,336.78,2026-04-14T03:20:59.870420
54,0.173656,465.86,2026-04-14T03:21:01.582480
55,0.173377,284.43,2026-04-14T03:21:03.193547
56,0.173051,252.76,2026-04-14T03:21:04.843392
57,0.172663,486.43,2026-04-14T03:21:06.593187
58,0.172731,358.89,2026-04-14T03:21:08.251670
59,0.172438,357.94,2026-04-14T03:21:10.021317
60,0.172262,280.16,2026-04-14T03:21:11.815642
61,0.171592,275.76,2026-04-14T03:21:13.442488
62,0.171298,366.31,2026-04-14T03:21:15.194511
63,0.171238,374.64,2026-04-14T03:21:16.902299
64,0.171251,412.96,2026-04-14T03:21:18.765601
65,0.170760,432.33,2026-04-14T03:21:20.412037
66,0.170399,285.14,2026-04-14T03:21:22.070726
67,0.169997,294.80,2026-04-14T03:21:23.766068
68,0.169757,276.51,2026-04-14T03:21:25.332153
69,0.169359,163.05,2026-04-14T03:21:27.024048
70,0.169369,319.39,2026-04-14T03:21:28.641213
71,0.169604,341.02,2026-04-14T03:21:30.443730
72,0.168935,476.28,2026-04-14T03:21:32.179674
73,0.169141,279.70,2026-04-14T03:21:33.876558
74,0.168986,271.49,2026-04-14T03:21:35.435509
75,0.169233,327.46,2026-04-14T03:21:36.938746
76,0.168295,322.21,2026-04-14T03:21:38.508646
77,0.168218,481.78,2026-04-14T03:21:40.229437
78,0.168031,281.72,2026-04-14T03:21:41.872801
79,0.167654,425.00,2026-04-14T03:21:43.588058
80,0.167507,282.34,2026-04-14T03:21:45.260836
81,0.167589,353.54,2026-04-14T03:21:46.936821
82,0.167255,278.23,2026-04-14T03:21:48.693154
83,0.166646,399.22,2026-04-14T03:21:50.396557
84,0.166577,284.25,2026-04-14T03:21:52.113756
85,0.166736,309.67,2026-04-14T03:21:53.795008
86,0.166282,275.01,2026-04-14T03:21:55.548050
87,0.166235,551.57,2026-04-14T03:21:57.314873
88,0.166021,273.89,2026-04-14T03:21:58.848351
89,0.165906,288.90,2026-04-14T03:22:00.468830
90,0.166054,309.00,2026-04-14T03:22:02.186182
91,0.165719,302.19,2026-04-14T03:22:03.948912
92,0.165647,271.71,2026-04-14T03:22:05.376392
93,0.165644,347.29,2026-04-14T03:22:07.212757
94,0.165241,421.98,2026-04-14T03:22:08.913757
95,0.165606,342.68,2026-04-14T03:22:10.584957
96,0.164826,382.37,2026-04-14T03:22:12.266425
97,0.164220,333.90,2026-04-14T03:22:13.739770
98,0.164105,364.50,2026-04-14T03:22:15.422945
99,0.164479,284.87,2026-04-14T03:22:17.089362
100,0.164070,435.31,2026-04-14T03:22:18.792364
101,0.163755,659.49,2026-04-14T03:22:20.598394
102,0.163406,272.90,2026-04-14T03:22:22.205082
103,0.163540,262.64,2026-04-14T03:22:23.742238
104,0.163745,524.74,2026-04-14T03:22:25.473930
105,0.163171,347.03,2026-04-14T03:22:27.169379
106,0.163214,397.70,2026-04-14T03:22:28.915680
107,0.163219,540.36,2026-04-14T03:22:30.680202
108,0.162913,257.95,2026-04-14T03:22:32.378740
109,0.162789,607.32,2026-04-14T03:22:34.124271
110,0.162565,281.69,2026-04-14T03:22:35.784167
111,0.162492,237.10,2026-04-14T03:22:37.538272
112,0.162193,366.42,2026-04-14T03:22:39.416143
113,0.162351,254.74,2026-04-14T03:22:41.091320
114,0.162006,262.55,2026-04-14T03:22:42.590391
115,0.161762,382.86,2026-04-14T03:22:44.433446
116,0.161689,259.71,2026-04-14T03:22:46.013255
117,0.161368,300.78,2026-04-14T03:22:47.645326
118,0.162243,266.13,2026-04-14T03:22:49.248630
119,0.161338,259.17,2026-04-14T03:22:50.882781
120,0.161068,317.15,2026-04-14T03:22:52.576816
121,0.161044,421.09,2026-04-14T03:22:54.202071
122,0.161411,264.72,2026-04-14T03:22:55.920973
123,0.161310,265.96,2026-04-14T03:22:57.895106
124,0.161833,432.89,2026-04-14T03:22:59.905935
125,0.160079,387.27,2026-04-14T03:23:02.235553
126,0.160527,552.67,2026-04-14T03:23:04.142771
127,0.159740,235.43,2026-04-14T03:23:06.033131
128,0.159880,475.47,2026-04-14T03:23:08.254064
129,0.159811,346.16,2026-04-14T03:23:10.491467
130,0.160083,264.74,2026-04-14T03:23:12.344327
131,0.159890,239.55,2026-04-14T03:23:14.194938
132,0.159524,471.32,2026-04-14T03:23:15.935373
133,0.160056,645.83,2026-04-14T03:23:18.041773
134,0.160027,270.27,2026-04-14T03:23:19.986147
135,0.159927,274.08,2026-04-14T03:23:21.981286
136,0.159371,442.77,2026-04-14T03:23:23.805892
137,0.158915,358.29,2026-04-14T03:23:25.614107
138,0.159167,313.09,2026-04-14T03:23:27.481893
139,0.158772,272.56,2026-04-14T03:23:29.383734
140,0.158828,320.44,2026-04-14T03:23:31.155592
141,0.158319,320.96,2026-04-14T03:23:33.075632
142,0.158760,559.76,2026-04-14T03:23:34.951448
143,0.158465,253.39,2026-04-14T03:23:36.909521
144,0.158687,247.36,2026-04-14T03:23:38.491482
145,0.158349,282.41,2026-04-14T03:23:40.165464
146,0.157950,260.11,2026-04-14T03:23:41.798754
147,0.157783,243.59,2026-04-14T03:23:44.120435
148,0.158260,800.93,2026-04-14T03:23:46.640105
149,0.157782,268.83,2026-04-14T03:23:48.771447
150,0.157626,349.80,2026-04-14T03:23:50.927019
151,0.157016,423.44,2026-04-14T03:23:53.310773
152,0.157507,327.50,2026-04-14T03:23:55.527491
153,0.157115,422.58,2026-04-14T03:23:57.794194
154,0.157524,256.51,2026-04-14T03:23:59.987288
155,0.157296,282.50,2026-04-14T03:24:01.854079
156,0.157493,338.60,2026-04-14T03:24:03.692043
157,0.157119,687.94,2026-04-14T03:24:05.412197
158,0.156934,270.29,2026-04-14T03:24:07.001586
159,0.156427,339.92,2026-04-14T03:24:08.696415
160,0.156531,267.08,2026-04-14T03:24:10.476231
161,0.156938,356.44,2026-04-14T03:24:12.185200
162,0.157064,246.83,2026-04-14T03:24:13.801724
163,0.156035,256.73,2026-04-14T03:24:15.498889
164,0.156711,243.01,2026-04-14T03:24:17.339954
165,0.156731,242.71,2026-04-14T03:24:19.147076
166,0.155821,259.87,2026-04-14T03:24:20.926076
167,0.155909,240.50,2026-04-14T03:24:22.540319
168,0.156033,218.75,2026-04-14T03:24:24.222423
169,0.155455,241.68,2026-04-14T03:24:26.065424
170,0.155771,259.29,2026-04-14T03:24:27.706203
171,0.155694,591.76,2026-04-14T03:24:29.485939
172,0.155575,256.08,2026-04-14T03:24:31.378703
173,0.155812,414.03,2026-04-14T03:24:33.088314
174,0.155445,268.85,2026-04-14T03:24:34.793353
175,0.155112,256.10,2026-04-14T03:24:36.565612
176,0.155066,345.91,2026-04-14T03:24:38.202068
177,0.155240,290.95,2026-04-14T03:24:40.207791
178,0.155168,278.91,2026-04-14T03:24:42.084861
179,0.155506,259.94,2026-04-14T03:24:43.878786
180,0.154657,290.72,2026-04-14T03:24:45.729759
181,0.154520,389.16,2026-04-14T03:24:47.669129
182,0.154660,284.40,2026-04-14T03:24:49.606138
183,0.154663,393.20,2026-04-14T03:24:51.266812
184,0.154208,296.72,2026-04-14T03:24:52.853207
185,0.154944,254.30,2026-04-14T03:24:54.506943
186,0.154063,248.06,2026-04-14T03:24:56.050103
187,0.154435,284.73,2026-04-14T03:24:57.838838
188,0.154361,242.48,2026-04-14T03:24:59.555273
189,0.153779,242.71,2026-04-14T03:25:01.562975
190,0.154239,397.96,2026-04-14T03:25:03.360344
191,0.153728,252.53,2026-04-14T03:25:05.071269
192,0.153660,423.42,2026-04-14T03:25:07.121892
193,0.153467,242.99,2026-04-14T03:25:09.108608
194,0.153553,286.42,2026-04-14T03:25:10.654333
195,0.153531,446.67,2026-04-14T03:25:12.515816
196,0.153303,331.00,2026-04-14T03:25:14.196096
