metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-10T18:56:15.896549
exp_name,bc-halfcheetah-medexp-half-run1,2026-02-10T18:56:15.896558
seed,42,2026-02-10T18:56:15.896561
n_epochs,1000,2026-02-10T18:56:15.896563
data_ratio,0.5,2026-02-10T18:56:15.896565
n_transitions,1000000,2026-02-10T18:56:15.896570
final_loss,0.037998,2026-02-10T18:56:15.896574
avg_reward,7792.69,2026-02-10T18:56:15.896578
std_reward,4271.15,2026-02-10T18:56:15.896580
n_episodes,10,2026-02-10T18:56:15.896582
