metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-10T21:22:35.066766
exp_name,bc-halfcheetah-medexp-quarter-run2,2026-02-10T21:22:35.066773
seed,43,2026-02-10T21:22:35.066776
n_epochs,1000,2026-02-10T21:22:35.066778
data_ratio,0.25,2026-02-10T21:22:35.066780
n_transitions,500000,2026-02-10T21:22:35.066785
final_loss,0.037294,2026-02-10T21:22:35.066788
avg_reward,4084.43,2026-02-10T21:22:35.066792
std_reward,609.96,2026-02-10T21:22:35.066794
n_episodes,10,2026-02-10T21:22:35.066796
