metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-10T12:27:07.857371
exp_name,bc-hopper-medexp-half-run2,2026-02-10T12:27:07.857377
seed,43,2026-02-10T12:27:07.857379
n_epochs,1000,2026-02-10T12:27:07.857382
data_ratio,0.5,2026-02-10T12:27:07.857384
n_transitions,600459,2026-02-10T12:27:07.857388
final_loss,0.065751,2026-02-10T12:27:07.857392
avg_reward,918.94,2026-02-10T12:27:07.857395
std_reward,966.77,2026-02-10T12:27:07.857398
n_episodes,10,2026-02-10T12:27:07.857399
