metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-10T13:42:33.639874
exp_name,bc-hopper-medexp-quarter-run1,2026-02-10T13:42:33.639880
seed,42,2026-02-10T13:42:33.639883
n_epochs,1000,2026-02-10T13:42:33.639885
data_ratio,0.25,2026-02-10T13:42:33.639887
n_transitions,300229,2026-02-10T13:42:33.639891
final_loss,0.065324,2026-02-10T13:42:33.639895
avg_reward,3001.94,2026-02-10T13:42:33.639898
std_reward,1118.46,2026-02-10T13:42:33.639900
n_episodes,10,2026-02-10T13:42:33.639902
