metric,value,timestamp
env_name,walker2d-medium-expert-v0,2026-02-09T22:15:50.541527
exp_name,bc-walker2d-medexp-half-run1,2026-02-09T22:15:50.541535
seed,42,2026-02-09T22:15:50.541538
n_epochs,1000,2026-02-09T22:15:50.541540
data_ratio,0.5,2026-02-09T22:15:50.541543
n_transitions,1000000,2026-02-09T22:15:50.541547
final_loss,0.068896,2026-02-09T22:15:50.541551
avg_reward,538.51,2026-02-09T22:15:50.541554
std_reward,1182.45,2026-02-09T22:15:50.541557
n_episodes,10,2026-02-09T22:15:50.541559
