epoch,loss,reward,timestamp
1,0.210131,121.79,2026-02-09T18:10:27.589381
2,0.153224,225.98,2026-02-09T18:10:42.208634
3,0.135210,106.92,2026-02-09T18:10:56.509664
4,0.125407,359.60,2026-02-09T18:11:11.551089
5,0.118711,302.82,2026-02-09T18:11:25.273030
6,0.113807,304.86,2026-02-09T18:11:39.868526
7,0.110019,2124.01,2026-02-09T18:11:57.866002
8,0.106983,133.13,2026-02-09T18:12:12.351669
9,0.104276,137.47,2026-02-09T18:12:26.719878
10,0.102236,283.76,2026-02-09T18:12:41.329309
11,0.100385,95.95,2026-02-09T18:12:55.468304
12,0.098696,1786.17,2026-02-09T18:13:12.341279
13,0.097413,13.78,2026-02-09T18:13:26.598670
14,0.096159,87.47,2026-02-09T18:13:41.018257
15,0.094867,199.04,2026-02-09T18:13:55.910299
16,0.093810,236.13,2026-02-09T18:14:10.413060
17,0.093058,195.81,2026-02-09T18:14:25.353023
18,0.092099,1510.61,2026-02-09T18:14:41.564921
19,0.091297,1213.57,2026-02-09T18:14:58.164879
20,0.090541,221.33,2026-02-09T18:15:12.113736
21,0.089833,282.82,2026-02-09T18:15:26.670728
22,0.089275,200.70,2026-02-09T18:15:40.711611
23,0.088693,768.45,2026-02-09T18:15:56.245284
24,0.088217,227.96,2026-02-09T18:16:10.695414
25,0.087761,897.20,2026-02-09T18:16:26.499057
26,0.087123,279.59,2026-02-09T18:16:41.595921
27,0.086765,602.44,2026-02-09T18:16:57.130706
28,0.086436,1265.53,2026-02-09T18:17:13.254454
29,0.085929,2642.43,2026-02-09T18:17:32.228062
30,0.085514,1337.10,2026-02-09T18:17:47.832588
31,0.085149,2669.73,2026-02-09T18:18:06.534548
32,0.084939,1354.02,2026-02-09T18:18:23.131255
33,0.084426,164.64,2026-02-09T18:18:37.812049
34,0.084113,221.67,2026-02-09T18:18:52.222422
35,0.083976,1680.84,2026-02-09T18:19:08.957874
36,0.083638,55.59,2026-02-09T18:19:23.041902
37,0.083382,165.31,2026-02-09T18:19:37.295596
38,0.083117,478.67,2026-02-09T18:19:51.674176
39,0.082836,910.67,2026-02-09T18:20:06.600353
40,0.082633,1875.42,2026-02-09T18:20:24.237999
41,0.082389,206.96,2026-02-09T18:20:37.951748
