epoch,loss,reward,timestamp
1,0.235560,132.20,2026-02-09T22:18:45.887462
2,0.176449,-1.39,2026-02-09T22:18:53.066462
3,0.157122,212.63,2026-02-09T22:19:00.291357
4,0.144755,34.78,2026-02-09T22:19:07.076733
5,0.136175,80.88,2026-02-09T22:19:14.152661
6,0.129873,219.96,2026-02-09T22:19:20.882846
7,0.124686,1583.84,2026-02-09T22:19:28.838290
8,0.120936,21.28,2026-02-09T22:19:35.907779
9,0.117707,8.38,2026-02-09T22:19:43.017348
10,0.115019,228.99,2026-02-09T22:19:50.187158
11,0.112274,780.48,2026-02-09T22:19:57.647182
12,0.110105,13.77,2026-02-09T22:20:04.452361
13,0.108442,86.47,2026-02-09T22:20:11.355035
14,0.106667,788.44,2026-02-09T22:20:18.870739
15,0.105194,375.32,2026-02-09T22:20:25.947212
16,0.103846,16.74,2026-02-09T22:20:32.612534
17,0.102463,15.71,2026-02-09T22:20:39.873689
18,0.101422,1462.60,2026-02-09T22:20:47.800985
19,0.100294,302.10,2026-02-09T22:20:55.145946
20,0.099577,127.04,2026-02-09T22:21:02.249980
21,0.098228,175.55,2026-02-09T22:21:09.243320
22,0.097651,472.20,2026-02-09T22:21:16.901657
23,0.096656,450.47,2026-02-09T22:21:24.202268
24,0.095987,194.97,2026-02-09T22:21:31.427601
25,0.095274,263.19,2026-02-09T22:21:38.492083
26,0.094703,1216.59,2026-02-09T22:21:45.752214
27,0.094004,120.53,2026-02-09T22:21:52.698015
28,0.093503,1755.49,2026-02-09T22:22:00.882766
29,0.092999,3068.21,2026-02-09T22:22:09.185701
30,0.092413,186.56,2026-02-09T22:22:16.348111
31,0.091971,2671.00,2026-02-09T22:22:24.563554
32,0.091493,2656.12,2026-02-09T22:22:33.191449
33,0.090882,1315.04,2026-02-09T22:22:40.968763
34,0.090457,1565.37,2026-02-09T22:22:48.348516
35,0.090138,266.36,2026-02-09T22:22:55.122550
36,0.089583,229.67,2026-02-09T22:23:02.434451
37,0.089464,233.40,2026-02-09T22:23:09.779438
38,0.088875,169.95,2026-02-09T22:23:16.936175
39,0.088529,1900.65,2026-02-09T22:23:25.168239
40,0.088281,147.97,2026-02-09T22:23:32.377938
41,0.087781,307.73,2026-02-09T22:23:39.776174
42,0.087517,211.80,2026-02-09T22:23:47.061389
43,0.087321,198.19,2026-02-09T22:23:54.398855
44,0.086987,-0.75,2026-02-09T22:24:01.572757
45,0.086662,203.95,2026-02-09T22:24:08.435541
46,0.086247,1437.97,2026-02-09T22:24:16.401933
47,0.086015,150.82,2026-02-09T22:24:23.398623
48,0.085840,162.19,2026-02-09T22:24:30.318213
49,0.085690,1223.60,2026-02-09T22:24:38.069191
50,0.085356,330.16,2026-02-09T22:24:45.418644
51,0.085275,66.93,2026-02-09T22:24:52.507667
52,0.085181,220.17,2026-02-09T22:24:59.748200
53,0.084684,113.14,2026-02-09T22:25:06.879139
54,0.084505,188.13,2026-02-09T22:25:14.048361
55,0.084102,196.94,2026-02-09T22:25:21.231628
56,0.083990,2977.75,2026-02-09T22:25:29.419614
57,0.083812,863.67,2026-02-09T22:25:37.262527
58,0.083674,0.43,2026-02-09T22:25:44.253407
59,0.083521,74.10,2026-02-09T22:25:50.830114
60,0.083335,676.55,2026-02-09T22:25:58.246563
61,0.083089,185.22,2026-02-09T22:26:05.755633
62,0.082969,140.03,2026-02-09T22:26:12.997187
63,0.082810,142.50,2026-02-09T22:26:20.248196
64,0.082666,1372.46,2026-02-09T22:26:27.761342
65,0.082348,344.69,2026-02-09T22:26:35.178814
66,0.082283,128.48,2026-02-09T22:26:42.314733
67,0.082184,3029.62,2026-02-09T22:26:50.632316
68,0.081976,208.65,2026-02-09T22:26:57.413414
69,0.081931,58.19,2026-02-09T22:27:04.080506
70,0.081509,23.21,2026-02-09T22:27:10.840879
71,0.081386,161.45,2026-02-09T22:27:18.103318
72,0.081363,44.03,2026-02-09T22:27:24.941440
73,0.081366,405.88,2026-02-09T22:27:32.487972
74,0.081233,2169.65,2026-02-09T22:27:41.090690
75,0.080914,218.27,2026-02-09T22:27:48.327976
76,0.080855,170.72,2026-02-09T22:27:55.393027
77,0.080691,163.58,2026-02-09T22:28:02.073627
78,0.080680,1349.03,2026-02-09T22:28:09.993437
79,0.080745,59.08,2026-02-09T22:28:17.215034
80,0.080379,935.13,2026-02-09T22:28:24.668465
81,0.080449,163.95,2026-02-09T22:28:31.854439
82,0.080242,83.23,2026-02-09T22:28:39.054721
83,0.080136,374.59,2026-02-09T22:28:46.587433
84,0.079955,781.97,2026-02-09T22:28:53.971887
85,0.079762,1273.30,2026-02-09T22:29:02.039949
86,0.079845,529.93,2026-02-09T22:29:09.065051
87,0.079647,2.67,2026-02-09T22:29:15.163151
88,0.079562,418.94,2026-02-09T22:29:22.617489
89,0.079525,27.83,2026-02-09T22:29:29.808894
90,0.079374,199.26,2026-02-09T22:29:37.107679
91,0.079333,202.38,2026-02-09T22:29:44.254929
92,0.079334,-0.24,2026-02-09T22:29:51.158021
93,0.079184,1166.90,2026-02-09T22:29:58.983381
94,0.079097,1420.59,2026-02-09T22:30:06.655355
95,0.079160,396.38,2026-02-09T22:30:14.006403
96,0.078828,1378.26,2026-02-09T22:30:21.716830
97,0.078628,612.55,2026-02-09T22:30:28.915220
98,0.078779,-5.78,2026-02-09T22:30:35.700599
99,0.078604,173.54,2026-02-09T22:30:42.435478
100,0.078477,144.88,2026-02-09T22:30:49.565670
101,0.078487,3.02,2026-02-09T22:30:56.512657
102,0.078451,176.75,2026-02-09T22:31:04.067251
103,0.078516,1423.50,2026-02-09T22:31:12.188963
104,0.078283,157.46,2026-02-09T22:31:18.858531
105,0.078087,57.00,2026-02-09T22:31:25.946124
106,0.078056,1046.40,2026-02-09T22:31:34.033373
107,0.078024,197.19,2026-02-09T22:31:40.964680
108,0.077918,339.10,2026-02-09T22:31:47.985516
109,0.077916,258.99,2026-02-09T22:31:55.266048
110,0.077923,269.84,2026-02-09T22:32:02.423643
111,0.077770,869.12,2026-02-09T22:32:09.937082
112,0.077650,2667.06,2026-02-09T22:32:18.563249
113,0.077609,99.53,2026-02-09T22:32:25.763445
114,0.077584,1223.75,2026-02-09T22:32:33.366111
115,0.077468,260.90,2026-02-09T22:32:40.488647
116,0.077407,243.98,2026-02-09T22:32:47.431369
117,0.077451,1592.58,2026-02-09T22:32:55.517133
118,0.077313,14.69,2026-02-09T22:33:02.516410
119,0.077202,1406.41,2026-02-09T22:33:10.396614
120,0.077146,62.58,2026-02-09T22:33:17.599691
121,0.077096,1087.64,2026-02-09T22:33:25.455245
122,0.077076,134.99,2026-02-09T22:33:32.527279
123,0.077099,167.09,2026-02-09T22:33:39.631634
124,0.076890,186.13,2026-02-09T22:33:46.705731
125,0.076922,1395.54,2026-02-09T22:33:54.914848
126,0.076985,106.50,2026-02-09T22:34:01.830885
127,0.076644,734.75,2026-02-09T22:34:08.724523
128,0.076746,1304.97,2026-02-09T22:34:16.867628
129,0.076746,137.75,2026-02-09T22:34:23.985485
130,0.076745,35.84,2026-02-09T22:34:31.034187
131,0.076682,172.91,2026-02-09T22:34:38.133824
132,0.076540,172.34,2026-02-09T22:34:45.236508
133,0.076666,121.31,2026-02-09T22:34:52.580032
134,0.076265,1197.73,2026-02-09T22:35:00.332181
135,0.076378,1358.72,2026-02-09T22:35:07.848041
136,0.076298,753.48,2026-02-09T22:35:14.992293
137,0.076301,-2.34,2026-02-09T22:35:22.317521
138,0.076254,407.55,2026-02-09T22:35:29.637418
139,0.076176,1407.02,2026-02-09T22:35:37.623196
140,0.076200,288.17,2026-02-09T22:35:44.598269
141,0.076070,136.74,2026-02-09T22:35:51.811551
142,0.076096,207.37,2026-02-09T22:35:58.486822
143,0.076099,181.67,2026-02-09T22:36:06.052471
144,0.076074,692.00,2026-02-09T22:36:13.244513
145,0.076000,291.76,2026-02-09T22:36:20.108596
146,0.075821,543.40,2026-02-09T22:36:27.314848
147,0.076026,223.96,2026-02-09T22:36:34.672069
148,0.075804,124.60,2026-02-09T22:36:41.778114
149,0.075806,304.80,2026-02-09T22:36:48.864774
150,0.075611,1325.42,2026-02-09T22:36:56.933194
151,0.075563,51.95,2026-02-09T22:37:03.600036
152,0.075684,165.50,2026-02-09T22:37:10.981789
153,0.075612,768.71,2026-02-09T22:37:18.409191
154,0.075474,187.13,2026-02-09T22:37:25.891487
155,0.075629,111.60,2026-02-09T22:37:33.195075
156,0.075369,88.69,2026-02-09T22:37:40.693325
157,0.075428,281.33,2026-02-09T22:37:47.881996
158,0.075306,60.84,2026-02-09T22:37:54.750009
159,0.075352,87.24,2026-02-09T22:38:01.906881
160,0.075332,305.59,2026-02-09T22:38:09.206094
161,0.075289,161.77,2026-02-09T22:38:16.447714
162,0.075314,10.55,2026-02-09T22:38:23.583177
163,0.075306,131.17,2026-02-09T22:38:30.550408
164,0.075121,406.94,2026-02-09T22:38:37.933245
165,0.075114,1357.16,2026-02-09T22:38:45.668958
166,0.075128,396.11,2026-02-09T22:38:52.872989
167,0.075127,2676.82,2026-02-09T22:39:01.480453
168,0.074909,159.25,2026-02-09T22:39:08.741908
169,0.074827,1397.02,2026-02-09T22:39:16.511519
170,0.075101,186.85,2026-02-09T22:39:23.537956
171,0.074883,1669.57,2026-02-09T22:39:31.277323
172,0.074804,51.69,2026-02-09T22:39:38.139113
173,0.074812,1331.99,2026-02-09T22:39:45.842081
174,0.074805,1341.79,2026-02-09T22:39:53.776757
175,0.074670,116.45,2026-02-09T22:40:00.879191
176,0.074650,1561.57,2026-02-09T22:40:08.884405
177,0.074672,160.36,2026-02-09T22:40:16.117360
178,0.074675,120.77,2026-02-09T22:40:23.221595
179,0.074631,180.76,2026-02-09T22:40:30.498235
180,0.074507,628.79,2026-02-09T22:40:37.624205
181,0.074667,14.64,2026-02-09T22:40:44.861890
182,0.074566,82.47,2026-02-09T22:40:51.376713
183,0.074492,1533.52,2026-02-09T22:40:59.364871
184,0.074492,156.20,2026-02-09T22:41:06.654026
185,0.074418,1708.22,2026-02-09T22:41:14.725393
186,0.074447,71.11,2026-02-09T22:41:21.721815
187,0.074429,55.53,2026-02-09T22:41:28.907730
188,0.074272,957.17,2026-02-09T22:41:36.595952
189,0.074206,400.37,2026-02-09T22:41:44.495202
190,0.074433,569.16,2026-02-09T22:41:52.304836
191,0.074241,126.88,2026-02-09T22:41:59.297939
192,0.074179,53.43,2026-02-09T22:42:05.801550
193,0.074122,180.50,2026-02-09T22:42:12.883780
194,0.074085,151.83,2026-02-09T22:42:20.001844
195,0.074181,177.01,2026-02-09T22:42:27.090632
196,0.074086,120.87,2026-02-09T22:42:33.928481
197,0.074095,1131.79,2026-02-09T22:42:41.851442
198,0.074161,1674.56,2026-02-09T22:42:50.256783
199,0.074020,162.39,2026-02-09T22:42:57.553544
200,0.073842,148.75,2026-02-09T22:43:04.749981
201,0.074118,144.16,2026-02-09T22:43:12.197904
202,0.073923,10.93,2026-02-09T22:43:19.255635
203,0.074027,309.31,2026-02-09T22:43:26.389560
204,0.073843,-4.21,2026-02-09T22:43:33.512695
205,0.073827,1174.48,2026-02-09T22:43:40.821509
206,0.073838,19.16,2026-02-09T22:43:47.507240
207,0.073817,76.91,2026-02-09T22:43:54.265967
208,0.073785,106.95,2026-02-09T22:44:01.040776
209,0.073665,118.92,2026-02-09T22:44:08.096761
210,0.073833,109.49,2026-02-09T22:44:15.187248
211,0.073743,358.99,2026-02-09T22:44:22.314721
212,0.073719,178.12,2026-02-09T22:44:29.472054
213,0.073700,1507.54,2026-02-09T22:44:37.197194
214,0.073581,221.05,2026-02-09T22:44:44.606095
215,0.073592,168.71,2026-02-09T22:44:51.665722
216,0.073627,183.55,2026-02-09T22:44:58.909479
217,0.073720,140.89,2026-02-09T22:45:05.985878
218,0.073629,2266.18,2026-02-09T22:45:14.155657
219,0.073444,1315.96,2026-02-09T22:45:22.017460
220,0.073511,464.51,2026-02-09T22:45:29.524259
221,0.073507,156.20,2026-02-09T22:45:36.768592
222,0.073310,134.90,2026-02-09T22:45:43.934452
223,0.073542,429.51,2026-02-09T22:45:51.200410
224,0.073482,2.88,2026-02-09T22:45:57.971354
225,0.073322,253.91,2026-02-09T22:46:05.328585
226,0.073369,189.91,2026-02-09T22:46:12.755186
227,0.073266,1428.49,2026-02-09T22:46:20.466747
228,0.073232,1861.42,2026-02-09T22:46:28.510796
229,0.073252,259.31,2026-02-09T22:46:35.347171
230,0.073287,124.05,2026-02-09T22:46:41.985312
231,0.073292,146.99,2026-02-09T22:46:49.162748
232,0.073206,637.63,2026-02-09T22:46:56.687182
233,0.073219,192.14,2026-02-09T22:47:03.608310
234,0.073264,1318.50,2026-02-09T22:47:11.335785
235,0.073078,321.21,2026-02-09T22:47:18.718383
236,0.073145,11.02,2026-02-09T22:47:25.824609
237,0.073057,52.08,2026-02-09T22:47:33.021209
238,0.073083,109.10,2026-02-09T22:47:40.166955
239,0.073126,62.97,2026-02-09T22:47:47.181986
240,0.073066,52.95,2026-02-09T22:47:54.306206
241,0.072976,312.12,2026-02-09T22:48:01.753125
242,0.072934,1326.60,2026-02-09T22:48:09.902050
243,0.073007,254.19,2026-02-09T22:48:16.663609
244,0.073106,106.59,2026-02-09T22:48:23.932382
245,0.072969,102.26,2026-02-09T22:48:30.746868
246,0.072937,2828.13,2026-02-09T22:48:39.358941
247,0.073078,236.73,2026-02-09T22:48:46.413125
248,0.072835,329.48,2026-02-09T22:48:53.640320
249,0.072745,1251.85,2026-02-09T22:49:01.474448
250,0.072796,1528.35,2026-02-09T22:49:09.547060
251,0.072829,118.76,2026-02-09T22:49:16.478137
252,0.072801,213.02,2026-02-09T22:49:23.773827
253,0.072935,294.25,2026-02-09T22:49:31.220315
254,0.072868,116.46,2026-02-09T22:49:38.341924
255,0.072802,265.00,2026-02-09T22:49:45.772477
256,0.072671,127.66,2026-02-09T22:49:52.379206
257,0.072701,43.62,2026-02-09T22:49:59.317928
258,0.072697,138.36,2026-02-09T22:50:06.470258
259,0.072626,401.18,2026-02-09T22:50:13.790124
260,0.072688,506.20,2026-02-09T22:50:21.111902
261,0.072650,162.75,2026-02-09T22:50:28.382790
262,0.072641,174.46,2026-02-09T22:50:35.505920
263,0.072578,1206.07,2026-02-09T22:50:43.252507
264,0.072700,2587.01,2026-02-09T22:50:51.578405
265,0.072582,1473.09,2026-02-09T22:50:59.369935
266,0.072482,1242.43,2026-02-09T22:51:07.258198
267,0.072502,209.88,2026-02-09T22:51:14.679116
268,0.072569,561.27,2026-02-09T22:51:21.805217
269,0.072471,252.61,2026-02-09T22:51:28.907794
270,0.072372,1251.87,2026-02-09T22:51:37.000699
271,0.072592,1295.88,2026-02-09T22:51:44.686372
272,0.072421,203.56,2026-02-09T22:51:51.764974
273,0.072362,256.64,2026-02-09T22:51:58.900009
274,0.072473,267.51,2026-02-09T22:52:05.950889
275,0.072432,121.78,2026-02-09T22:52:13.026028
276,0.072421,38.58,2026-02-09T22:52:20.014369
277,0.072420,287.23,2026-02-09T22:52:27.217798
278,0.072249,1219.45,2026-02-09T22:52:35.154592
279,0.072258,174.10,2026-02-09T22:52:42.049383
280,0.072384,-3.09,2026-02-09T22:52:48.905156
281,0.072273,41.81,2026-02-09T22:52:55.549443
282,0.072399,44.51,2026-02-09T22:53:02.480441
283,0.072169,206.14,2026-02-09T22:53:09.430985
284,0.072266,93.99,2026-02-09T22:53:16.351015
285,0.072290,92.95,2026-02-09T22:53:23.401249
286,0.072246,74.47,2026-02-09T22:53:30.403567
287,0.072124,79.28,2026-02-09T22:53:37.422072
288,0.072150,1146.40,2026-02-09T22:53:45.240588
289,0.072042,307.58,2026-02-09T22:53:52.410795
290,0.072174,2330.36,2026-02-09T22:54:00.849972
291,0.072095,623.75,2026-02-09T22:54:08.194440
292,0.072104,1448.03,2026-02-09T22:54:16.330496
293,0.072053,137.36,2026-02-09T22:54:23.411558
