metric,value,timestamp
env_name,halfcheetah-medium-expert-v0,2026-02-13T01:33:55.422599
exp_name,bc-halfcheetah-medexp-12k-run2,2026-02-13T01:33:55.422605
seed,43,2026-02-13T01:33:55.422608
n_epochs,1000,2026-02-13T01:33:55.422610
data_ratio,1.0,2026-02-13T01:33:55.422613
n_transitions,12500,2026-02-13T01:33:55.422615
final_loss,0.027961,2026-02-13T01:33:55.422619
avg_reward,3419.88,2026-02-13T01:33:55.422622
std_reward,1154.36,2026-02-13T01:33:55.422625
n_episodes,10,2026-02-13T01:33:55.422627
