epoch,loss,reward,timestamp
1,0.327554,2757.42,2026-02-13T00:47:03.986839
2,0.190470,988.65,2026-02-13T00:47:04.964146
3,0.166247,3093.33,2026-02-13T00:47:07.918712
4,0.155813,3230.41,2026-02-13T00:47:10.635912
5,0.147523,2816.85,2026-02-13T00:47:11.508815
6,0.142619,2833.55,2026-02-13T00:47:14.907362
7,0.136234,2765.38,2026-02-13T00:47:17.148959
8,0.131863,2732.28,2026-02-13T00:47:18.077504
9,0.129792,1802.12,2026-02-13T00:47:21.427821
10,0.127001,-2.29,2026-02-13T00:47:24.247764
11,0.122857,2092.97,2026-02-13T00:47:25.167059
12,0.122190,1094.96,2026-02-13T00:47:27.800475
13,0.119260,-3.06,2026-02-13T00:47:30.453219
14,0.116842,-3.64,2026-02-13T00:47:31.764640
15,0.116988,407.90,2026-02-13T00:47:33.705576
16,0.114205,1059.64,2026-02-13T00:47:36.993960
17,0.113226,-3.69,2026-02-13T00:47:38.568529
18,0.112662,-3.74,2026-02-13T00:47:40.151834
19,0.109316,838.96,2026-02-13T00:47:43.328695
20,0.107899,-3.66,2026-02-13T00:47:45.715788
21,0.107077,626.06,2026-02-13T00:47:46.897084
22,0.105870,-6.08,2026-02-13T00:47:50.061595
23,0.104329,-5.32,2026-02-13T00:47:52.867900
24,0.102560,-5.01,2026-02-13T00:47:53.780229
25,0.101823,-5.22,2026-02-13T00:47:56.949875
26,0.101407,-1.62,2026-02-13T00:47:59.462597
27,0.099966,-5.61,2026-02-13T00:48:00.377917
28,0.098330,1198.38,2026-02-13T00:48:03.314795
29,0.098178,1155.25,2026-02-13T00:48:06.225656
30,0.096722,2253.26,2026-02-13T00:48:07.056225
31,0.096493,2400.90,2026-02-13T00:48:09.981590
32,0.095225,3239.01,2026-02-13T00:48:12.564564
33,0.094334,3491.21,2026-02-13T00:48:13.476355
34,0.094711,2382.28,2026-02-13T00:48:16.058844
35,0.093019,3333.06,2026-02-13T00:48:18.887412
36,0.092349,2806.46,2026-02-13T00:48:19.797274
37,0.091993,1942.42,2026-02-13T00:48:22.188604
38,0.090856,2808.09,2026-02-13T00:48:25.120679
39,0.089106,3607.63,2026-02-13T00:48:26.043190
40,0.089023,3821.85,2026-02-13T00:48:28.487201
41,0.088094,2714.35,2026-02-13T00:48:31.828258
42,0.087333,3519.72,2026-02-13T00:48:32.752991
43,0.087097,3695.62,2026-02-13T00:48:35.289634
44,0.086235,3599.53,2026-02-13T00:48:38.086341
45,0.086220,2683.02,2026-02-13T00:48:38.920419
46,0.086397,792.06,2026-02-13T00:48:41.553420
47,0.084948,3749.35,2026-02-13T00:48:44.856127
48,0.084081,2065.32,2026-02-13T00:48:45.765098
49,0.083493,2315.38,2026-02-13T00:48:47.733538
50,0.082884,2840.47,2026-02-13T00:48:50.922619
51,0.082634,3303.22,2026-02-13T00:48:51.833198
52,0.082090,3377.28,2026-02-13T00:48:54.247741
53,0.082653,1713.38,2026-02-13T00:48:55.091714
54,0.082312,1041.70,2026-02-13T00:48:55.842135
55,0.080767,2757.83,2026-02-13T00:48:56.611812
56,0.080228,2649.51,2026-02-13T00:48:57.490409
57,0.078997,3691.47,2026-02-13T00:48:58.243059
58,0.079366,3960.89,2026-02-13T00:48:58.975924
59,0.078193,2489.37,2026-02-13T00:48:59.850108
60,0.080272,1777.59,2026-02-13T00:49:00.601286
61,0.078531,2352.50,2026-02-13T00:49:01.369717
62,0.077603,3265.83,2026-02-13T00:49:05.028920
63,0.077742,2909.11,2026-02-13T00:49:07.061558
64,0.077512,2467.63,2026-02-13T00:49:08.534951
65,0.076959,3954.60,2026-02-13T00:49:11.893497
66,0.076445,3846.21,2026-02-13T00:49:14.216456
67,0.075796,3797.33,2026-02-13T00:49:15.096991
68,0.075100,3276.27,2026-02-13T00:49:18.284568
69,0.074882,3342.87,2026-02-13T00:49:20.629572
70,0.073286,3753.87,2026-02-13T00:49:21.551259
71,0.073097,2103.02,2026-02-13T00:49:24.576348
72,0.073352,2534.30,2026-02-13T00:49:26.580365
73,0.072903,2356.07,2026-02-13T00:49:27.462835
74,0.072380,3617.31,2026-02-13T00:49:30.562861
75,0.071510,3286.77,2026-02-13T00:49:32.675972
76,0.072769,2619.46,2026-02-13T00:49:33.584964
77,0.071286,2923.53,2026-02-13T00:49:36.658123
78,0.071336,3438.87,2026-02-13T00:49:38.873368
79,0.071451,3368.59,2026-02-13T00:49:39.998902
80,0.070272,3765.63,2026-02-13T00:49:43.262801
81,0.069596,4031.11,2026-02-13T00:49:45.615225
82,0.070266,1741.49,2026-02-13T00:49:46.898901
83,0.071021,2658.71,2026-02-13T00:49:49.600858
84,0.070624,3880.57,2026-02-13T00:49:51.100518
85,0.069311,3974.99,2026-02-13T00:49:52.633125
86,0.067569,3710.63,2026-02-13T00:49:55.838233
87,0.067367,3388.07,2026-02-13T00:49:57.258659
88,0.067461,4029.80,2026-02-13T00:49:58.882622
89,0.068273,3751.60,2026-02-13T00:50:02.087489
90,0.067843,3681.02,2026-02-13T00:50:03.637699
91,0.067634,3368.24,2026-02-13T00:50:05.011007
92,0.067531,3169.16,2026-02-13T00:50:08.128432
93,0.067109,3583.64,2026-02-13T00:50:09.778993
94,0.066689,3728.13,2026-02-13T00:50:11.318251
95,0.066061,3777.68,2026-02-13T00:50:14.266285
96,0.064991,3217.98,2026-02-13T00:50:15.491424
97,0.064905,3658.95,2026-02-13T00:50:17.035165
98,0.065819,4043.04,2026-02-13T00:50:20.588241
99,0.065686,3929.38,2026-02-13T00:50:21.939820
100,0.065040,3899.70,2026-02-13T00:50:23.706697
101,0.065101,3844.91,2026-02-13T00:50:26.992802
102,0.064976,3451.39,2026-02-13T00:50:28.008656
103,0.063689,3969.42,2026-02-13T00:50:29.846130
104,0.063368,3883.59,2026-02-13T00:50:32.759566
105,0.063800,4039.79,2026-02-13T00:50:34.416227
106,0.063257,3284.97,2026-02-13T00:50:36.127113
107,0.064106,3676.29,2026-02-13T00:50:39.029808
108,0.063128,3951.06,2026-02-13T00:50:40.694706
109,0.063362,4093.56,2026-02-13T00:50:42.285382
110,0.062048,3855.28,2026-02-13T00:50:45.194021
111,0.062071,3229.18,2026-02-13T00:50:46.478798
112,0.062152,4148.51,2026-02-13T00:50:47.947991
113,0.061859,3904.62,2026-02-13T00:50:51.052049
114,0.061750,2342.46,2026-02-13T00:50:52.593221
115,0.060941,3094.90,2026-02-13T00:50:53.625067
116,0.061673,3802.02,2026-02-13T00:50:56.634124
117,0.061126,3867.48,2026-02-13T00:50:58.371554
118,0.060642,3583.22,2026-02-13T00:50:59.409657
119,0.059729,3882.77,2026-02-13T00:51:02.512749
120,0.060792,4015.73,2026-02-13T00:51:04.871646
121,0.059754,2355.09,2026-02-13T00:51:05.938950
122,0.059607,3264.18,2026-02-13T00:51:08.771169
123,0.060383,2701.32,2026-02-13T00:51:10.867675
124,0.059912,3953.29,2026-02-13T00:51:11.752803
125,0.059768,3386.01,2026-02-13T00:51:14.616797
126,0.058465,2851.70,2026-02-13T00:51:16.855406
127,0.059079,3995.44,2026-02-13T00:51:18.090121
128,0.059306,3975.74,2026-02-13T00:51:20.912974
129,0.058741,3721.58,2026-02-13T00:51:23.088822
130,0.057890,3969.02,2026-02-13T00:51:23.984132
131,0.057727,3725.28,2026-02-13T00:51:27.325508
132,0.057681,3882.73,2026-02-13T00:51:29.768223
133,0.058383,3245.95,2026-02-13T00:51:30.675247
134,0.057770,3885.18,2026-02-13T00:51:33.857283
135,0.058067,3011.18,2026-02-13T00:51:36.589923
136,0.057445,3937.15,2026-02-13T00:51:37.515579
137,0.057058,3924.54,2026-02-13T00:51:40.180442
138,0.057547,4208.28,2026-02-13T00:51:42.910992
139,0.058041,3980.16,2026-02-13T00:51:43.821584
140,0.058273,3816.77,2026-02-13T00:51:46.691971
141,0.057100,3832.89,2026-02-13T00:51:49.546038
142,0.056679,3552.14,2026-02-13T00:51:50.433104
143,0.056690,2986.21,2026-02-13T00:51:52.705234
144,0.056693,3990.20,2026-02-13T00:51:54.793936
145,0.055980,4031.50,2026-02-13T00:51:55.490785
146,0.055677,4052.87,2026-02-13T00:51:56.250163
