metric,value,timestamp
env_name,hopper-medium-expert-v0,2026-02-12T23:59:49.682815
exp_name,bc-hopper-medexp-12k-run2,2026-02-12T23:59:49.682821
seed,43,2026-02-12T23:59:49.682824
n_epochs,1000,2026-02-12T23:59:49.682826
data_ratio,1.0,2026-02-12T23:59:49.682829
n_transitions,12500,2026-02-12T23:59:49.682832
final_loss,0.068843,2026-02-12T23:59:49.682835
avg_reward,1055.64,2026-02-12T23:59:49.682838
std_reward,1031.53,2026-02-12T23:59:49.682841
n_episodes,10,2026-02-12T23:59:49.682843
