epoch,loss,reward,timestamp
1,0.079512,3531.14,2026-02-08T07:49:41.240592
2,0.044985,4142.39,2026-02-08T07:50:00.522428
3,0.037851,4038.87,2026-02-08T07:50:19.796149
4,0.034594,4365.49,2026-02-08T07:50:39.266324
5,0.032721,4307.08,2026-02-08T07:50:58.546926
6,0.031526,4394.27,2026-02-08T07:51:18.063865
7,0.030618,4227.58,2026-02-08T07:51:37.325626
8,0.030127,4190.09,2026-02-08T07:51:56.545442
9,0.029582,4416.38,2026-02-08T07:52:15.956774
10,0.029172,4269.82,2026-02-08T07:52:35.100572
11,0.028851,4270.38,2026-02-08T07:52:54.345769
12,0.028595,4292.13,2026-02-08T07:53:13.685862
13,0.028347,4196.48,2026-02-08T07:53:33.010354
14,0.028042,4248.67,2026-02-08T07:53:52.060071
15,0.027964,4284.09,2026-02-08T07:54:11.498522
16,0.027721,4227.69,2026-02-08T07:54:30.595173
17,0.027634,4103.33,2026-02-08T07:54:49.767374
18,0.027460,4390.69,2026-02-08T07:55:09.058291
19,0.027286,4265.90,2026-02-08T07:55:28.199509
20,0.027225,4272.69,2026-02-08T07:55:47.235478
21,0.027136,4362.80,2026-02-08T07:56:06.161345
22,0.026994,4405.02,2026-02-08T07:56:25.312283
23,0.026882,4264.09,2026-02-08T07:56:44.178158
24,0.026776,4350.42,2026-02-08T07:57:03.378071
25,0.026706,4409.80,2026-02-08T07:57:22.132190
26,0.026679,4301.53,2026-02-08T07:57:40.977272
27,0.026559,4218.93,2026-02-08T07:57:59.827558
28,0.026500,4405.45,2026-02-08T07:58:18.668732
29,0.026487,4297.42,2026-02-08T07:58:37.581277
30,0.026398,4348.65,2026-02-08T07:58:56.512774
31,0.026336,4314.34,2026-02-08T07:59:15.133840
32,0.026277,4379.66,2026-02-08T07:59:33.802781
33,0.026237,4263.72,2026-02-08T07:59:52.182157
34,0.026176,4215.45,2026-02-08T08:00:10.727947
35,0.026166,3565.40,2026-02-08T08:00:29.180803
36,0.026116,4264.52,2026-02-08T08:00:47.876921
37,0.026064,4401.41,2026-02-08T08:01:06.713750
38,0.025988,4251.80,2026-02-08T08:01:25.211120
39,0.025967,4201.82,2026-02-08T08:01:43.786829
40,0.025946,4194.64,2026-02-08T08:02:02.241104
41,0.025887,4437.00,2026-02-08T08:02:20.640546
42,0.025867,4300.24,2026-02-08T08:02:38.861893
43,0.025842,4113.50,2026-02-08T08:02:57.071867
44,0.025772,4325.59,2026-02-08T08:03:15.247847
45,0.025783,4357.46,2026-02-08T08:03:33.422510
46,0.025742,4293.69,2026-02-08T08:03:51.563488
47,0.025680,4257.57,2026-02-08T08:04:09.799054
48,0.025631,4320.36,2026-02-08T08:04:28.112900
49,0.025644,4329.04,2026-02-08T08:04:46.303543
50,0.025589,4239.69,2026-02-08T08:05:04.625874
51,0.025575,3791.14,2026-02-08T08:05:22.731767
52,0.025555,4304.94,2026-02-08T08:05:40.776910
53,0.025559,4226.77,2026-02-08T08:05:59.036916
54,0.025514,4260.64,2026-02-08T08:06:17.173754
55,0.025490,4211.01,2026-02-08T08:06:35.553224
56,0.025461,3764.88,2026-02-08T08:06:53.545945
57,0.025439,4336.18,2026-02-08T08:07:11.912701
58,0.025416,4298.70,2026-02-08T08:07:30.004250
59,0.025398,4353.33,2026-02-08T08:07:48.154032
60,0.025374,4193.32,2026-02-08T08:08:06.094678
61,0.025325,4376.73,2026-02-08T08:08:24.276487
62,0.025338,4431.69,2026-02-08T08:08:42.193555
63,0.025286,4381.43,2026-02-08T08:09:00.242622
64,0.025292,4277.83,2026-02-08T08:09:18.174174
65,0.025282,4303.71,2026-02-08T08:09:36.317816
66,0.025255,4371.06,2026-02-08T08:09:54.273809
67,0.025246,4250.65,2026-02-08T08:10:12.473098
68,0.025218,4260.20,2026-02-08T08:10:30.604993
69,0.025216,4318.35,2026-02-08T08:10:48.632305
70,0.025204,4296.06,2026-02-08T08:11:06.745226
71,0.025169,4321.56,2026-02-08T08:11:24.776957
72,0.025155,4381.47,2026-02-08T08:11:42.927416
73,0.025130,4301.99,2026-02-08T08:12:00.801984
74,0.025147,4182.84,2026-02-08T08:12:18.734286
75,0.025096,4296.82,2026-02-08T08:12:36.671282
76,0.025093,4229.39,2026-02-08T08:12:54.598155
77,0.025069,4295.02,2026-02-08T08:13:12.456022
78,0.025060,4268.14,2026-02-08T08:13:30.396942
79,0.025084,4319.12,2026-02-08T08:13:48.348905
80,0.025029,3696.21,2026-02-08T08:14:06.089908
81,0.025040,4226.86,2026-02-08T08:14:24.121506
82,0.024992,4286.85,2026-02-08T08:14:41.985679
83,0.024996,4282.77,2026-02-08T08:14:59.823493
84,0.024980,4409.21,2026-02-08T08:15:17.577958
85,0.024981,4274.62,2026-02-08T08:15:35.583356
86,0.024955,4378.41,2026-02-08T08:15:53.287017
87,0.024969,4324.86,2026-02-08T08:16:11.354491
88,0.024944,4329.36,2026-02-08T08:16:29.352549
89,0.024921,4327.79,2026-02-08T08:16:47.104148
90,0.024917,4328.87,2026-02-08T08:17:05.019930
91,0.024914,4227.02,2026-02-08T08:17:22.629947
92,0.024883,4202.30,2026-02-08T08:17:40.324217
93,0.024890,4334.81,2026-02-08T08:17:58.205662
94,0.024900,3974.35,2026-02-08T08:18:15.985265
95,0.024859,4149.03,2026-02-08T08:18:33.928399
96,0.024862,4327.97,2026-02-08T08:18:51.765400
97,0.024849,4327.85,2026-02-08T08:19:09.560443
98,0.024803,4415.10,2026-02-08T08:19:27.408679
99,0.024847,4196.66,2026-02-08T08:19:44.930919
100,0.024800,4161.23,2026-02-08T08:20:02.601512
101,0.024785,4288.94,2026-02-08T08:20:20.160300
102,0.024790,4317.12,2026-02-08T08:20:37.742739
103,0.024775,4299.19,2026-02-08T08:20:55.631742
104,0.024781,4290.92,2026-02-08T08:21:13.668130
105,0.024771,4321.78,2026-02-08T08:21:31.363117
106,0.024742,3896.57,2026-02-08T08:21:48.861433
107,0.024712,3077.41,2026-02-08T08:22:06.657547
108,0.024741,4362.59,2026-02-08T08:22:24.459635
109,0.024734,4314.05,2026-02-08T08:22:42.132713
110,0.024715,4405.28,2026-02-08T08:22:59.814237
111,0.024710,4410.33,2026-02-08T08:23:17.659716
112,0.024709,4125.63,2026-02-08T08:23:35.445340
113,0.024676,4101.25,2026-02-08T08:23:53.380138
114,0.024681,4331.74,2026-02-08T08:24:11.375687
115,0.024688,4396.60,2026-02-08T08:24:29.097638
116,0.024671,3792.16,2026-02-08T08:24:46.721480
117,0.024651,4270.10,2026-02-08T08:25:04.460734
118,0.024664,4409.99,2026-02-08T08:25:22.106046
119,0.024625,4252.66,2026-02-08T08:25:39.661239
