epoch,loss,reward,timestamp
1,0.312773,73.01,2026-02-06T12:37:44.954545
2,0.253365,331.31,2026-02-06T12:37:46.494349
3,0.238970,347.18,2026-02-06T12:37:48.130213
4,0.229659,284.64,2026-02-06T12:37:49.697269
5,0.222628,299.23,2026-02-06T12:37:51.264005
6,0.217810,284.28,2026-02-06T12:37:52.879886
7,0.212999,459.75,2026-02-06T12:37:54.494664
8,0.209136,279.11,2026-02-06T12:37:56.049472
9,0.206260,289.48,2026-02-06T12:37:57.586266
10,0.203079,329.20,2026-02-06T12:37:59.203611
11,0.200746,273.76,2026-02-06T12:38:00.872227
12,0.198987,305.13,2026-02-06T12:38:02.428567
13,0.197463,323.39,2026-02-06T12:38:04.045343
14,0.195840,310.28,2026-02-06T12:38:05.728465
15,0.194598,283.60,2026-02-06T12:38:07.303522
16,0.193422,270.89,2026-02-06T12:38:08.911078
17,0.192081,327.97,2026-02-06T12:38:10.492940
18,0.190738,276.46,2026-02-06T12:38:12.058583
19,0.190065,288.37,2026-02-06T12:38:13.236439
20,0.188822,272.81,2026-02-06T12:38:14.373049
21,0.188087,277.00,2026-02-06T12:38:15.887105
22,0.187438,280.67,2026-02-06T12:38:17.541379
23,0.186440,292.23,2026-02-06T12:38:19.132017
24,0.186201,282.21,2026-02-06T12:38:20.698847
25,0.185396,288.68,2026-02-06T12:38:22.178856
26,0.184123,283.77,2026-02-06T12:38:23.843159
27,0.184111,331.76,2026-02-06T12:38:25.374230
28,0.183231,292.21,2026-02-06T12:38:26.909159
29,0.182788,272.80,2026-02-06T12:38:28.482450
30,0.182149,282.81,2026-02-06T12:38:30.122796
31,0.181276,286.59,2026-02-06T12:38:31.666129
32,0.180908,276.96,2026-02-06T12:38:33.148434
33,0.180467,282.91,2026-02-06T12:38:34.696897
34,0.180220,268.35,2026-02-06T12:38:36.315306
35,0.179670,261.21,2026-02-06T12:38:37.932441
36,0.178768,391.35,2026-02-06T12:38:39.493255
37,0.178775,318.01,2026-02-06T12:38:41.206805
38,0.178447,278.42,2026-02-06T12:38:42.556841
39,0.177811,270.83,2026-02-06T12:38:43.659143
40,0.177944,274.29,2026-02-06T12:38:44.853757
41,0.177638,343.64,2026-02-06T12:38:46.512511
42,0.176623,280.14,2026-02-06T12:38:48.215148
43,0.176394,260.61,2026-02-06T12:38:49.715316
44,0.175984,290.88,2026-02-06T12:38:51.305724
45,0.175519,289.44,2026-02-06T12:38:52.949168
46,0.175808,284.84,2026-02-06T12:38:54.451871
47,0.175107,279.74,2026-02-06T12:38:56.005900
48,0.174852,314.36,2026-02-06T12:38:57.534410
49,0.174346,292.23,2026-02-06T12:38:59.083860
50,0.173966,289.58,2026-02-06T12:39:00.632323
51,0.173821,440.66,2026-02-06T12:39:02.249930
52,0.173839,270.68,2026-02-06T12:39:03.809067
53,0.173631,307.89,2026-02-06T12:39:05.336229
54,0.173355,361.21,2026-02-06T12:39:06.899965
55,0.172891,302.39,2026-02-06T12:39:08.498949
56,0.172135,290.41,2026-02-06T12:39:10.091066
57,0.171960,248.71,2026-02-06T12:39:11.607899
58,0.171833,261.28,2026-02-06T12:39:12.757271
59,0.171623,251.79,2026-02-06T12:39:14.162933
60,0.171307,306.91,2026-02-06T12:39:15.676602
61,0.170791,292.49,2026-02-06T12:39:17.234318
62,0.171180,254.87,2026-02-06T12:39:18.878354
63,0.170161,192.85,2026-02-06T12:39:20.562692
64,0.170364,514.40,2026-02-06T12:39:22.102295
65,0.169924,261.23,2026-02-06T12:39:23.711338
66,0.170380,283.54,2026-02-06T12:39:25.305421
67,0.169685,239.21,2026-02-06T12:39:26.776217
68,0.169508,323.28,2026-02-06T12:39:28.326600
69,0.169246,270.48,2026-02-06T12:39:29.920943
70,0.169250,240.26,2026-02-06T12:39:31.443768
71,0.169327,283.52,2026-02-06T12:39:33.032304
72,0.168670,404.75,2026-02-06T12:39:34.673303
73,0.168065,305.90,2026-02-06T12:39:36.238881
74,0.167836,420.83,2026-02-06T12:39:37.856079
75,0.167981,271.51,2026-02-06T12:39:39.386924
76,0.167389,277.23,2026-02-06T12:39:40.723449
77,0.167508,314.80,2026-02-06T12:39:42.229519
78,0.166957,271.31,2026-02-06T12:39:43.717687
79,0.166907,273.23,2026-02-06T12:39:45.312684
80,0.166467,296.51,2026-02-06T12:39:46.808880
81,0.166758,317.46,2026-02-06T12:39:48.423960
82,0.166452,333.65,2026-02-06T12:39:49.978957
83,0.166510,268.82,2026-02-06T12:39:51.586104
84,0.165867,276.47,2026-02-06T12:39:53.172748
85,0.166169,302.72,2026-02-06T12:39:54.812211
86,0.166054,376.68,2026-02-06T12:39:56.482525
87,0.165888,276.23,2026-02-06T12:39:57.949060
88,0.165600,257.86,2026-02-06T12:39:59.484756
89,0.165303,483.46,2026-02-06T12:40:01.034201
90,0.164788,304.41,2026-02-06T12:40:02.678312
91,0.165098,293.33,2026-02-06T12:40:04.309977
92,0.164708,263.54,2026-02-06T12:40:05.788277
93,0.164765,267.89,2026-02-06T12:40:07.354110
94,0.164480,292.72,2026-02-06T12:40:08.809868
95,0.164193,285.54,2026-02-06T12:40:09.911243
96,0.164669,262.99,2026-02-06T12:40:11.040308
97,0.164832,388.29,2026-02-06T12:40:12.501921
98,0.163596,270.85,2026-02-06T12:40:14.097950
99,0.163681,272.52,2026-02-06T12:40:15.647985
100,0.163499,274.61,2026-02-06T12:40:17.150286
101,0.163223,266.08,2026-02-06T12:40:18.768702
102,0.163163,303.07,2026-02-06T12:40:20.325882
103,0.163302,285.40,2026-02-06T12:40:21.925324
104,0.162848,303.75,2026-02-06T12:40:23.523057
105,0.162894,271.64,2026-02-06T12:40:25.168931
106,0.162125,252.03,2026-02-06T12:40:26.685259
107,0.162484,260.50,2026-02-06T12:40:28.259928
108,0.162377,284.63,2026-02-06T12:40:29.922846
109,0.162085,609.96,2026-02-06T12:40:31.717841
110,0.161978,256.10,2026-02-06T12:40:33.277632
111,0.161781,283.28,2026-02-06T12:40:34.836234
112,0.161786,282.63,2026-02-06T12:40:36.284274
113,0.161882,253.17,2026-02-06T12:40:37.875987
114,0.161605,255.93,2026-02-06T12:40:39.329479
115,0.160795,575.71,2026-02-06T12:40:40.532052
116,0.161444,307.14,2026-02-06T12:40:41.659895
117,0.161130,297.95,2026-02-06T12:40:43.083311
118,0.160442,241.75,2026-02-06T12:40:44.615528
119,0.160936,372.54,2026-02-06T12:40:46.225471
120,0.160909,363.04,2026-02-06T12:40:47.944099
121,0.160231,275.37,2026-02-06T12:40:49.514582
122,0.160373,283.39,2026-02-06T12:40:51.243501
123,0.159915,273.76,2026-02-06T12:40:52.739617
124,0.160224,255.00,2026-02-06T12:40:54.343335
125,0.160556,280.12,2026-02-06T12:40:55.921761
126,0.159695,303.30,2026-02-06T12:40:57.564384
127,0.159238,280.08,2026-02-06T12:40:59.175217
128,0.160004,301.69,2026-02-06T12:41:00.771118
129,0.159518,253.60,2026-02-06T12:41:02.231100
130,0.159193,545.02,2026-02-06T12:41:03.807195
131,0.159533,270.99,2026-02-06T12:41:05.391642
132,0.159023,262.05,2026-02-06T12:41:06.558689
133,0.159436,319.11,2026-02-06T12:41:07.932729
134,0.158520,242.24,2026-02-06T12:41:09.451083
135,0.158635,594.50,2026-02-06T12:41:11.148759
136,0.158460,304.34,2026-02-06T12:41:12.401655
137,0.158339,320.61,2026-02-06T12:41:13.528942
